編號,地址,避難所在之地下樓層數,轄區分局,經度,緯度,村里別,可容納人數
1.0,臺中市北區中達里育德路185號,1,第二分局,120.672319,24.157138,中達里,178.0
2.0,臺中市北區五常里學士路6號,3,第二分局,120.682536,24.153808,五常里,1807.0
3.0,臺中市北區五常里學士路2號,2,第二分局,120.682759,24.153392,五常里,5194.0
4.0,臺中市北區文莊里文化街69號,1,第二分局," 120.67486",24.152083,文莊里,296.0
5.0,臺中市北區中達里篤行路321號,1,第二分局," 120.67323",24.155125,中達里,217.0
6.0,臺中市北區中達里篤行路321號,1,第二分局," 120.67323",24.155125,中達里,832.0
7.0,臺中市北區中達里篤行路321號,1,第二分局," 120.67323",24.155125,中達里,531.0
8.0,臺中市北區中達里篤行路321號,1,第二分局," 120.67323",24.155125,中達里,266.0
9.0,臺中市北區五常里五權路375號,1,第二分局,120.680519,24.152865,五常里,947.0
10.0,臺中市北區五常里五權路379號,1,第二分局,120.680899,24.152867,五常里,781.0
11.0,臺中市北區錦平里三民路三段129號,1,第二分局,120.6814945,24.1496435,錦平里,3896.0
12.0,臺中市北區文莊里英士路109號,1,第二分局,120.6752,24.153185,文莊里,1719.0
13.0,臺中市北區中正里臺灣大道一段635號,1,第二分局,120.675248,24.14593,中正里,211.0
14.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,208.0
15.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,617.0
16.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,952.0
17.0,臺中市北區金龍里三民路三段445號,2,第二分局," 120.69128",24.159572,金龍里,141.0
18.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,1562.0
19.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,83.0
20.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,125.0
21.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,833.0
22.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,1562.0
23.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,1415.0
24.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,83.0
25.0,臺中市北區金龍里三民路三段289號,1,第二分局,120.688077,24.156604,金龍里,375.0
26.0,臺中市北區錦平里五權路370之3號,1,第二分局,120.681282,24.152443,錦平里,1431.0
27.0,臺中市北區光大里五權路317號,1,第二分局,120.678741,24.152145,光大里,456.0
28.0,臺中市北區頂厝里太原路二段228號,1,第二分局,120.682503,24.164954,頂厝里,718.0
29.0,臺中市北區中正里民權路220號,1,第二分局,120.6740607,24.14375739,中正里,838.0
30.0,臺中市北區健行里健行路666號,1,第二分局,120.672764,24.159372,健行里,1874.0
31.0,臺中市北區健行里健行路666號,1,第二分局,120.672764,24.159372,健行里,2119.0
32.0,臺中市北區健行里健行路666號,1,第二分局,120.672764,24.159372,健行里,944.0
33.0,臺中市北區六合里成功路430巷21號,1,第二分局,120.67677,24.14703,六合里,220.0
34.0,臺中市北區五常里五義街167號,1,第二分局,120.680429,24.153756,五常里,197.0
35.0,臺中市北區淡溝里館前路1號,3,第二分局,120.66616,24.155802,淡溝里,4244.0
36.0,臺中市北區淡溝里館前路1號,2,第二分局,120.66616,24.155802,淡溝里,22139.0
37.0,臺中市北區六合里成功路439號,1,第二分局,120.6755,24.147044,六合里,520.0
38.0,臺中市北區光大里原子街127巷21之2號,1,第二分局,120.675588,24.147846,光大里,302.0
39.0,臺中市北區光大里五權路276號,1,第二分局,120.678119,24.151395,光大里,312.0
40.0,臺中市北區光大里五權路178號,1,第二分局,120.676242,24.14966,光大里,250.0
41.0,臺中市北區賴厝里永興街301號,2,第二分局,120.682233,24.166042,賴厝里,1856.0
42.0,臺中市北區光大里公園路188號,2,第二分局,120.677563,24.1511,光大里,496.0
43.0,"臺中市北區賴興里北平路二段135號 ",1,第二分局," 120.67743",24.171686,賴興里,1247.0
