電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
ENA01002,財團法人台灣省天主教會,田心里,25.064938,121.194746,B2,518.0,大園分局,
ENA01003,許游秀香,田心里,25.064940,121.195329,B1,110.0,大園分局,
ENA01016,林罔市,田心里,25.063831,121.194429,B1,83.0,大園分局,
ENA01017,中華電信,田心里,25.064018,121.194334,B1,93.0,大園分局,
ENA01018,大園分局,田心里,,,B1,44.0,大園分局,
ENA01019,惠翔幼稚園,田心里,25.063694,121.193347,B1,52.0,大園分局,
ENA01020,吳阿桃,田心里,25.063490,121.194762,B1,117.0,大園分局,
ENA01023,大興高中,田心里,25.062014,121.192761,B1,274.0,大園分局,
ENA01024,千中和,田心里,25.061702,1121.19510,B1,1336.0,大園分局,
ENA01025,瑞美食品,田心里,25.065480,121.188367,B1,43.0,大園分局,
ENA01028,大園國小,橫峰里,25.059077,121.202679,B1,380.0,大園分局,
ENA01029,大園國小,橫峰里,25.059077,121.202679,B1,653.0,大園分局,
ENA01031,大園農會,橫峰里,25.063048,121.201684,B1,713.0,大園分局,
ENA01032,陽昇應用材料公司,橫峰里,25.032188,121.212016,B1,26.0,大園分局,
ENA01033,大園消防隊,橫峰里,25.061551,121.201116,B1,94.0,大園分局,
ENA01034,久明科技股份有限公司,橫峰里,25.031076,121.212170,B1,203.0,大園分局,
ENA01037,銘皇環保科技公司,橫峰里,25.026682,121.213697,B1,300.0,大園分局,
ENA01040,百利達(顏瑛宗),橫峰里,25.021745,121.212703,B1,101.0,大園分局,
ENA01042,呂宜宗,溪海里,25.047720,121.18988,B1,71.0,大園分局,
ENA01043,陽程科技股份有限公司,溪海里,25.047659,121.190408,B1,165.0,大園分局,
ENA01044,科德寶,溪海里,25.046512,121.190796,B1,194.0,大園分局,
ENA01045,佳格公司,溪海里,25.046254,121.188713,B1,267.0,大園分局,
ENA01051,郭桂榮,大園里,25.064904,121.197110,B1,91.0,大園分局,
ENA01054,大園區戶政事務所,大園里,25.067869,121.195848,B1,158.0,大園分局,
ENA01055,大園衛生所,田心里,25.063470,121.195371,B2,1293.0,大園分局,
ENA01056,邱麗娟,大園里,25.062810,121.198893,B1,287.0,大園分局,
ENA01058,康麗雲(陳昭儀),橫峰里,25.059305,121.201216,B3,680.0,大園分局,
ENA01059,康麗雲(林家輝),橫峰里,25.058937,121.201234,B3,1576.0,大園分局,
ENA01060,陳專田(薛興福),田心里,25.059165,121.195198,B2,2589.0,大園分局,
