"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
高樹鄉圖書館,QRA00053,高樹村,屏東縣高樹鄉高樹村16鄰興中路330號,"22.826395237517335, 120.600715624354",1.2.3,2577.0,里港分局,
電力公司/高樹服務處,QRA00054,高樹村,屏東縣高樹鄉高樹村16鄰華光路101號,"22.825809768734022, 120.59671229967066",1,193.0,里港分局,
大新醫院,QRA00052,長榮村,屏東縣高樹鄉長榮村13鄰興中路208號,"22.823799484994858, 120.59957347700447",1,312.0,里港分局,
高樹鄉衛生所,QRA00076,長榮村,屏東縣高樹鄉長榮村09鄰南昌路12-2號,"22.81852330169091, 120.59625889372136",1,512.0,里港分局,
不動寺/講座寺,QRA00056,新豐村,屏東縣高樹鄉新豐村16鄰和興路26號之5,"22.863086607701042, 120.64192165599268",1,168.0,里港分局,共有2處、總計可容納人數268人
不動寺/禮彿寺院,QRA00057,新豐村,屏東縣高樹鄉新豐村16鄰和興路26號之5,"22.8626562926188, 120.64268584457798",1,100.0,里港分局,共有2處、總計可容納人數268人
宏偉食品公司,QRA00058,新南村,屏東縣高樹鄉新南村12鄰大和路1號之15,"22.785045146669084, 120.56796788689002",1,83.0,里港分局,
法興耐火公司,QRA00059,新南村,屏東縣高樹鄉新南村07鄰興店路6號之6,"22.783860187435398, 120.5605599237286",1,124.0,里港分局,
大路觀酒店,QRA00074,廣興村,屏東縣高樹鄉廣興村15鄰中正路192號,"22.739377050373573, 120.62873086144033",1,390.0,里港分局,
中華電信公司/泰山機房,QRA00077,泰山村,屏東縣高樹鄉泰山村17鄰三民路3-8號,"22.786354286153237, 120.61035270789186",1,108.0,里港分局,
潤泰精密材料公司/廠房,QRA00081,中和村,屏東縣里港鄉中和村08鄰中南1-8號,"22.804265942221843, 120.4959428950978",1,1767.0,里港分局,
