建築物名稱,類別,村里,地址,緯經度,地下層數,可容納人數,轄管分局,轄管所別,備註
卓蘭國小,學校,新厝里15鄰,苗栗縣卓蘭鎮新厝里15鄰中山路125號,"24.31251160265144, 120.82497698095708",1.0,554.0,大湖分局,卓蘭所,
民宅公寓,公寓,中街里6鄰,苗栗縣卓蘭鎮中街里6鄰中山路101號,"24.312003338628156,120.82644027573909",1.0,82.0,大湖分局,卓蘭所,
詹陳綉鳳民宅,民宅,新厝里1鄰,苗栗縣卓蘭鎮新厝里1鄰新厝路7-6號,"  24.305903292032934, 120.82401069154668",1.0,12.0,大湖分局,卓蘭所,
培德幼兒園,幼兒園,中街里10鄰,苗栗縣卓蘭鎮中街里民族路88號,"24.31370740226156,120.82708956681005",1.0,90.0,大湖分局,卓蘭所,
卓蘭高中(勵學樓),學校,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,"24.31287419859529,120.8319717263379",1.0,800.0,大湖分局,卓蘭所,
卓蘭高中(崇德樓),學校,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,"24.31287419859529,120.8319717263379",1.0,1022.0,大湖分局,卓蘭所,
昭忠廟,寺廟,老庄里1鄰,苗栗縣卓蘭鎮老庄里1鄰老庄2-6號,"24.311084212464674,120.83442800982574",1.0,141.0,大湖分局,卓蘭所,
民間住宅大樓,大樓,中街里4鄰,苗栗縣卓蘭鎮中街里4鄰中山路82號,"24.312188549903226,120.82639674468531",1.0,729.0,大湖分局,卓蘭所,
卓蘭鎮戶政事務所,公務機關,新厝里16鄰,苗栗縣卓蘭鎮新厝里16鄰三和路15號,"24.31287766278021,120.82536753561939",1.0,746.0,大湖分局,卓蘭所,
卓蘭高中(活動中心),學校,老庄里18鄰,苗栗縣卓蘭鎮老庄里老庄161號,"24.31287419859529,120.8319717263379",1.0,2628.0,大湖分局,卓蘭所,
虎山溫泉會館,飯店,錦水村11鄰,苗栗縣泰安鄉錦水村11鄰圓墩73號,"24.46852522862672,120.94050609750403",1.0,352.0,大湖分局,龍山所,
苗栗區農業改良場大湖分場(生物大樓),公務機關,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,"24.423717327382455,120.86974162035048",1.0,33.0,大湖分局,大湖所,
大湖鄉公所,公務機關,明湖村12鄰,苗栗縣大湖鄉明湖村中正路80號,"24.423525309380697,120.86617809750328",1.0,266.0,大湖分局,大湖所,
大湖農會酒莊,大湖農會酒莊,富興村8鄰,苗栗縣大湖鄉富興村9鄰八寮灣2-4號,"24.429178192831024, 120.86834548354337",1.0,1101.0,大湖分局,大湖所,
苗栗區農業改良場大湖分場(行政大樓),公務機關,大湖村14鄰,苗栗縣大湖鄉大湖村14鄰民族路42號,"24.423717327382455,120.86974162035048",1.0,126.0,大湖分局,大湖所,
中華電信苗栗營運處大湖服務中心,電信業,靜湖村5鄰,苗栗縣大湖鄉靜湖村5鄰民族路105號,"24.4260796755726, 120.87029533983042",1.0,720.0,大湖分局,大湖所,
大湖地政事務所,公務機關,明湖村12鄰,苗栗縣大湖鄉明湖村12鄰博愛街35號,"24.42383949575475, 120.86629558860875",1.0,181.0,大湖分局,大湖所,
大湖鄉圖書館,公務機關,大湖村15鄰,苗栗縣大湖鄉大湖村15鄰民族路40之2號,"24.423341964178864, 120.86951805379282",1.0,161.0,大湖分局,大湖所,
大順醫院,醫院,大湖村6鄰,苗栗縣大湖鄉大湖村6鄰中正路48-5號,"24.42248298389276, 120.86760627178772",1.0,297.0,大湖分局,大湖所,
全泰建設公司,建設公司,大湖村11鄰,苗栗縣大湖鄉大湖村11鄰重光路105-123號,"  24.421535847974678, 120.8675489176451",1.0,3744.0,大湖分局,大湖所,
國立大湖農工,學校,大寮村17鄰,苗栗縣大湖鄉大寮村17鄰竹高屋68號,"24.42140604920819, 120.86159745517607",1.0,542.0,大湖分局,大湖所,
中華電信卓蘭服務中心,電信業,新厝里18鄰,苗栗縣卓蘭鎮新厝里18鄰中山路140號,"24.313508215790588, 120.82453305657727",1.0,785.0,大湖分局,卓蘭所,
大湖天主教堂,教堂,大湖村18鄰,苗栗縣大湖鄉大湖村18鄰中正路46號,"24.422357442960855, 120.86795479939035",1.0,462.0,大湖分局,大湖所,
雪霸國家公園警察隊,公務機關,富興村1鄰,苗栗縣大湖鄉富興村1鄰水尾坪99號,"24.448286416525324, 120.87971346729694",1.0,557.0,大湖分局,大湖所,
錦水溫泉大飯店,飯店,錦水村10鄰,苗栗縣泰安鄉錦水村10鄰橫龍山72號,"24.4681556719445, 120.96746434168607",1.0,1297.0,大湖分局,龍山所,
采莓行館,飯店,大湖村3鄰,苗栗縣大湖鄉大湖村3鄰中山路37號,"24.42386870720058, 120.86799461920089",1.0,227.0,大湖分局,大湖所,
大湖衛生所,公務機關,明湖村2鄰,苗栗縣大湖鄉明湖村中原路87號,"24.4241764511252, 120.86587319827673",1.0,402.0,大湖分局,大湖所,
,27,,,,,18057.0,,,
