類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)"
漢磊科技公司,23.0,,新竹科學園區創新一路3號,1,1178,竹科,,,,,
同亨科技公司,24.0,,新竹科學園區工業東十路18號,1,108,竹科,,,,,
科學園區管局(保二總隊竹村分隊),25.0,,新竹科學園區園區三路101號,1,405,竹科,,,,,
南茂科技(股)公司,26.0,,新竹科學園區創新一路9號,2,889,竹科,,,,,
科學工業園區管理局,27.0,,新竹科學園區園區二路40號,1,1058,竹科,,,,,
瑞昱半導體有限公司,28.0,,新竹科學園區創新二路2號,1,1489,竹科,,,,,
科學工業園區管理局,29.0,,新竹科學園區工業東九路22號,1,997,竹科,,,,,
科學工業園區管理局,30.0,,新竹科學園區工業東九路9號,1,893,竹科,,,,,
亞太優勢微系統公司,31.0,,新竹科學園區研發六路2號,1,2479,竹科,,,,,
台灣積體電路公司,32.0,,新竹科學園區園區三路121號,1,5254,竹科,,,,,
研發大樓,33.0,,新竹科學園區創新一路13號,1,5205,竹科,,,,,
福永生物科技股份有限公司,34.0,,新竹科學園區研發三路8號,1,1124,竹科,,,,,
亞大優勢微系統公司,35.0,,新竹科學園區研發六路2號,1,1156,竹科,,,,,
聯亞科技公司,36.0,,新竹科學園區研發一路12號,1,190,竹科,,,,,
南茂科技限公司,37.0,,新竹科學園區研發二路1號,1,8852,竹科,,,,,
盛群半導體公司,38.0,,新竹科學園區研新二路5號,1,2488,竹科,,,,,
長天科技公司,39.0,,新竹科學園區創新一路1-1號,1,2248,竹科,,,,,
和喬科技有限公司,40.0,,新竹科學園區研新一路8號,1,1049,竹科,,,,,
世界先進積體電路股份有限公司,41.0,,新竹科學園區園區三路123號,1,3201,竹科,,,,,
光磊科技,42.0,,新竹科學園區創新一路8號,1,1226,竹科,,,,,
永進生物科技股份有限公司,43.0,,新竹科學園區工業東九路30號,1,6095,竹科,,,,,
台灣積體電路公司,44.0,,新竹科學園區研新一路9號,2,8765,竹科,,,,,
聯華電子股份有限公司,45.0,,新竹科學園區研新一路16號,2,5126,竹科,,,,,
合勤科技公司,46.0,,新竹科學園區創新二路6號,1,4322,竹科,,,,,
虹光精密有限公司,47.0,,新竹科學園區研新一路20號,1,3303,竹科,,,,,
中德電子材料有限公司,48.0,,新竹科學園區研新一路2號,1,2292,竹科,,,,,
中德電子材料有限公司,49.0,,新竹科學園區研新一路2號,1,2417,竹科,,,,,
台灣積體電路有限公司,50.0,,新竹科學園區研新一路9號,2,5318,竹科,,,,,
漢民系統有限公司,51.0,,新竹科學園區研新一路18號,2,5096,竹科,,,,,
世界先進積體電路股份有限公司,52.0,,新竹科學園區園區三路123號,1,4329,竹科,,,,,
台灣信越半導體公司,53.0,,新竹科學園區工業東九路12號,2,2967,竹科,,,,,
復盛有限公司,54.0,,新竹科學園區工業東九路17號,2,1750,竹科,,,,,
台積電公司,55.0,,新竹科學園區研新二路6號,2,1371,竹科,,,,,
合勤科技公司,56.0,,新竹科學園區工業東九路2號,1,3655,竹科,,,,,
凌陽科技股份有限公司,57.0,,新竹科學園區創新一路19號,1,3965,竹科,,,,,
矽品精密股份有限公司,58.0,,新竹科學園區研發二路1-1號,3,9707,竹科,,,,,
啟碁科技公司,59.0,,新竹科學園區園區二路20號,3,"12979 ",竹科,,,,,
中科警察服務大樓,1.0,,台中市大雅區橫山里科雅西路2號,1,2324,中科,,,,,
經濟部加工出口區中港分處,1.0,草湳里,臺中市梧棲區草湳里大觀路6號,1,6675,中港,,,,,
大發公司,2.0,草湳里,臺中市梧棲區草湳里緯六路8號,1,741,中港,,,,,
今國光公司,3.0,草湳里,臺中市梧棲區草湳里經一路32號,1,595,中港,,,,,
巨菱公司,4.0,草湳里,臺中市梧棲區草湳里經一路12號,1,551,中港,,,,,
菱生公司,5.0,草湳里,臺中市梧棲區草湳里大觀路37號,1,11816,中港,,,,,
達興公司,6.0,草湳里,臺中市梧棲區草湳里建八路2號,1,2088,中港,,,,,
經濟部加工出口區臺中分處,1.0,潭秀里,臺中市潭子區南二路5號,1,3315,潭子,,,,,
台灣佳能,2.0,潭秀里,臺中市潭子區建國路15號,1,593,潭子,,,,,
"安碁科技公司 ",3.0,潭秀里,臺中市潭子區建國路17號,1,598,潭子,,,,,
光聯公司,4.0,潭秀里,臺中市潭子區建國路12號,1,233,潭子,,,,,
北環停車場,5.0,潭秀里,臺中市潭子區北環路23號,1,1487,潭子,,,,,
