建築物名稱,類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容量人數,備註
大樓,大樓,HNB00001,福德里,新竹縣竹北市福德里中正東路418號,"24.8374093,121.0082552",1,228.0,
竹仁活動中心,公寓,HNB00002,竹仁里,新竹縣竹北市竹仁里文化街1號,"24.835921,121.018169",1,119.0,
竹仁國小（禮堂）,公寓,HNB00003,竹仁里,新竹縣竹北市竹仁里仁和街1號,"24.8370583,121.0123056",1,347.0,
新仁醫院,大樓,HNB00004,竹義里,新竹縣竹北市竹義里15鄰博愛街329號,"24.8355672,121.0078525",1,405.0,
竹北地政事務所,公寓,HNB00005,竹仁里,新竹縣竹北市竹仁里25鄰三民路200號,"24.8333667,121.0127314",1,384.0,
竹北市公有第二市場,公寓,HNB00006,竹仁里,新竹縣竹北市竹仁里25鄰仁義路129號,"24.8344747,121.0144681",1,2119.0,
大樓,大樓,HNB00007,福德里,新竹縣竹北市福德里中山路663號,"24.8388596,121.00977",1,385.0,
市公所活動中心,公寓,HNB00008,福德里,新竹縣竹北市福德里福德街67號,"24.8354732,121.0095274",1,267.0,
大樓,大樓,HNB00009,竹仁里,新竹縣竹北市竹仁里49鄰博愛街426號,"24.8376975,121.0096396",1,332.0,
新仁醫院,大樓,HNB00010,竹義里,新竹縣竹北市竹義里15鄰博愛街329號,"24.8355672,121.0078525",1,1211.0,
大樓,大樓,HNB00011,福德里,新竹縣竹北市福德里大同路76號,"24.8375612,121.006989",1,216.0,
大樓,大樓,HNB00012,福德里,新竹縣竹北市福德里中正東路331號,"24.8353284,121.0113928",1,313.0,
翔揚建設公司（綠園豪邸）,大樓,HNB00013,竹仁里,新竹縣竹北市竹仁里12鄰四維路95巷9號,"24.8337165,121.0154372",1,679.0,
大樓,大樓,HNB00014,福德里,新竹縣竹北市福德里博愛街357號,"24.8363002,121.0084031",1,209.0,
大樓,大樓,HNB00015,竹仁里,新竹縣竹北市竹仁里文化街87號,"24.836184,121.0154756",1,957.0,
大樓,大樓,HNB00016,竹仁里,新竹縣竹北市竹仁里中正東路2號,"24.8357423,121.0197834",1,345.0,
大樓,大樓,HNB00017,福德里,新竹縣竹北市福德里大同街43之47號,"24.8343611,121.0098468",1,397.0,
御花園,大樓,HNB00018,竹仁里,新竹縣竹北市竹仁里4鄰三民路124號,"24.83322,121.01668",1,839.0,
竹仁商業大樓,大樓,HNB00019,福德里,新竹縣竹北市福德里竹仁街24號,"24.8371773,121.0100407",1,804.0,
新仁醫院,大樓,HNB00020,竹義里,新竹縣竹北市竹義里15鄰博愛街329號,"24.8355672,121.0078525",1,549.0,
天寶贏家,大樓,HNB00021,竹仁里,新竹縣竹北市竹仁里文化街135號,"24.8366939,121.0146037",1,1781.0,
大樓,大樓,HNB00022,竹仁里,新竹縣竹北市竹仁里4鄰三民路140號,"24.8330851,121.01639",1,2976.0,
公寓,公寓,HNB00023,竹仁里,新竹縣竹北市竹仁里35鄰民生街49巷7號,"24.8331161,121.0117673",1,852.0,
轟動天厦,大樓,HNB00024,竹仁里,新竹縣竹北市竹仁里24鄰民權街13號,"24.8340007,121.0126467",1,3207.0,
"明欣建設 竹北新都",大樓,HNB00025,竹仁里,新竹縣竹北市竹仁里文明街59號,"24.8365106,121.0171548",1,333.0,
