建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
錦標公司,尚義村,雲林縣大埤鄉尚義村尚義路2號,"23.63787, 120.44965",1.0,83.0,斗南分局,341.0,,雲林縣大埤鄉尚義村尚義路2號
彌勒三星大道場（原崇先中學）,尚義村,雲林縣大埤鄉尚義村尚義6號,"23.63827, 120.45016",1.0,618.0,斗南分局,342.0,,雲林縣大埤鄉尚義村尚義6號
世紀庭園,明昌里,雲林縣斗南鎮明昌里明昌路46號,"23.67397, 120.46332",1.0,792.0,斗南分局,343.0,,雲林縣斗南鎮明昌里明昌路46號
皇家大樓,明昌里,雲林縣斗南鎮明昌里延平路2段572之2號,"23.6694,  120.47564",1.0,468.0,斗南分局,344.0,,雲林縣斗南鎮明昌里延平路2段572之2號
大銘電業公司,明昌里,雲林縣斗南鎮明昌里興華街28號,"23.67482, 120.47516",1.0,133.0,斗南分局,345.0,本避難所位於雲林縣斗南鎮明昌里興華街32號,雲林縣斗南鎮明昌里興華街28號
順安宮,明昌里,雲林縣斗南鎮明昌里明昌路1號,"23.67542, 120.47259",1.0,870.0,斗南分局,346.0,,雲林縣斗南鎮明昌里明昌路1號
內政部雲林教養院,東仁里,雲林縣斗南鎮東仁里忠孝路157號,"23.6728,  120.48919",1.0,2112.0,斗南分局,347.0,"教養院800人
慈輝樓747人
育英樓565人",雲林縣斗南鎮東仁里忠孝路157號
劉泰成醫院,東仁里,雲林縣斗南鎮東仁里中山路12號,"23.67358, 120.48046",1.0,123.0,斗南分局,348.0,,雲林縣斗南鎮東仁里中山路12號
東和國中,東和村,雲林縣古坑鄉東和村文化路130號,"23.68587, 120.56712",1.0,234.0,斗南分局,349.0,,雲林縣古坑鄉東和村文化路130號
德泰水泥廠,東和村,雲林縣古坑鄉東和村廣濟路120號,"23.67875, 120.56953",1.0,82.0,斗南分局,350.0,,雲林縣古坑鄉東和村廣濟路120號
,林子里,雲林縣斗南鎮林子里大同路12號,"23.65839, 120.48364",1.0,400.0,斗南分局,351.0,,雲林縣斗南鎮林子里大同路12號
龍阺大樓,南昌里,雲林縣斗南鎮南昌里民生路82號,"23.67107, 120.47644",1.0,1588.0,斗南分局,352.0,,雲林縣斗南鎮南昌里民生路82號
彩虹世界大樓,南昌里,雲林縣斗南鎮南昌里世榮街20號,"23.67253, 120.47718",1.0,297.0,斗南分局,353.0,,雲林縣斗南鎮南昌里世榮街20號
順吉商業大樓,南昌里,雲林縣斗南鎮南昌里順安街45號,"23.67335, 120.47786",1.0,527.0,斗南分局,354.0,,雲林縣斗南鎮南昌里順安街45號
皇第大樓,南昌里,雲林縣斗南鎮南昌里民生路159號,"23.67066, 120.47676",1.0,1393.0,斗南分局,355.0,,雲林縣斗南鎮南昌里民生路159號
,南昌里,雲林縣斗南鎮南昌里民權路29號,"23.67374, 120.47878",1.0,248.0,斗南分局,356.0,,雲林縣斗南鎮南昌里民權路29號
公路局斗南站,南昌里,雲林縣斗南鎮南昌里南昌路145號,"23.67431, 120.47719",1.0,136.0,斗南分局,357.0,,雲林縣斗南鎮南昌里南昌路145號
紅美人茶室,南昌里,雲林縣斗南鎮南昌里民權路91號,"23.67351, 120.477",1.0,123.0,斗南分局,358.0,,雲林縣斗南鎮南昌里民權路91號
佳賓旅社,南昌里,雲林縣斗南鎮南昌里新興街203號,"23.67407, 120.47709",1.0,426.0,斗南分局,359.0,,雲林縣斗南鎮南昌里新興街203號
他里霧旅社,南昌里,雲林縣斗南鎮南昌里順安街65號,"23.67387, 120.47782",1.0,166.0,斗南分局,360.0,,雲林縣斗南鎮南昌里順安街65號
廣東香小吃部,南昌里,雲林縣斗南鎮南昌里五福路17號,"23.67076, 120.47678",1.0,56.0,斗南分局,361.0,,雲林縣斗南鎮南昌里五福路17號
仁安堂葯局,南昌里,雲林縣斗南鎮南昌里文元街43號,"23.6753,  120.47783",1.0,150.0,斗南分局,362.0,,雲林縣斗南鎮南昌里文元街43號
南美大旅社,南昌里,雲林縣斗南鎮南昌里民權路26號,"23.67397, 120.47885",1.0,16.0,斗南分局,363.0,,雲林縣斗南鎮南昌里民權路26號
清龍旅社,南昌里,雲林縣斗南鎮南昌里民權路15號,"23.67361, 120.47942",1.0,8.0,斗南分局,364.0,,雲林縣斗南鎮南昌里民權路15號
斗南第二市場,南昌里,雲林縣斗南鎮南昌里光復街36號,"23.67502, 120.47773",1.0,3056.0,斗南分局,365.0,,雲林縣斗南鎮南昌里光復街36號
吳國猷診所,南昌里,雲林縣斗南鎮南昌里南昌路124號,"23.6733,  120.47894",1.0,121.0,斗南分局,366.0,,雲林縣斗南鎮南昌里南昌路124號
,草嶺村,雲林縣古坑鄉中坪路34號之7,"23.59201, 120.7005",1.0,187.0,斗南分局,367.0,,雲林縣古坑鄉中坪路34號之7
,草嶺村,雲林縣古坑鄉草嶺村草嶺34號之10,"23.58355, 120.69364",1.0,44.0,斗南分局,368.0,,雲林縣古坑鄉草嶺村草嶺34號之10
,草嶺村,雲林縣古坑鄉草嶺村草嶺34號之9,"23.58355, 120.69364",1.0,81.0,斗南分局,369.0,,雲林縣古坑鄉草嶺村草嶺34號之9
,草嶺村,雲林縣古坑鄉草嶺村草嶺34號之8,"23.58355, 120.69364",1.0,52.0,斗南分局,370.0,,雲林縣古坑鄉草嶺村草嶺34號之8
古坑鄉公所,湳仔村,雲林縣古坑鄉湳仔村湳仔30號,"23.6527,  120.53759",1.0,92.0,斗南分局,371.0,,雲林縣古坑鄉湳仔村湳仔30號
斗南鎮農會（小東加工廠）,新光里,雲林縣斗南鎮新光里延平路1段412號,"23.68556, 120.48052",1.0,43.0,斗南分局,372.0,,雲林縣斗南鎮新光里延平路1段412號
加企實業有限公司,新光里,雲林縣斗南鎮新光里興業1街29號,"23.68998, 120.47904",1.0,82.0,斗南分局,373.0,,雲林縣斗南鎮新光里興業1街29號
,新南里,雲林縣斗南鎮新南里南勢路200號,"23.63558, 120.50526",1.0,67.0,斗南分局,374.0,,雲林縣斗南鎮新南里南勢路200號
特殊教育學校行政大樓,新崙里,雲林縣斗南鎮新崙里新崙路100號,"23.6813,  120.43083",1.0,1266.0,斗南分局,375.0,"行政大樓826人
C棟440人",雲林縣斗南鎮新崙里新崙路100號
六佳塑膠工業公司,嘉興村,雲林縣大埤鄉嘉興村豐田路4號,"23.63409, 120.46652",1.0,95.0,斗南分局,376.0,,雲林縣大埤鄉嘉興村豐田路4號
味王公司,嘉興村,雲林縣大埤鄉嘉興村豐田14號,"23.63374, 120.46693",1.0,483.0,斗南分局,377.0,,雲林縣大埤鄉嘉興村豐田14號
台灣綠源股份有限公司,嘉興村,雲林縣大埤鄉嘉興村15鄰豐盛街3號,"23.63703, 120.46447",1.0,106.0,斗南分局,378.0,,雲林縣大埤鄉嘉興村15鄰豐盛街3號
台肥公司,嘉興村,雲林縣大埤鄉嘉興村豐昌街2號,"23.63991, 120.46593",1.0,116.0,斗南分局,379.0,,雲林縣大埤鄉嘉興村豐昌街2號
,嘉興村,雲林縣大埤鄉嘉興村15鄰豐田路55號,"23.64785, 120.45084",1.0,88.0,斗南分局,380.0,,雲林縣大埤鄉嘉興村15鄰豐田路55號
浩閔鋼模,嘉興村,雲林縣大埤鄉嘉興村豐田路6號,"23.64785, 120.45084",1.0,43.0,斗南分局,381.0,,雲林縣大埤鄉嘉興村豐田路6號
嘉一鋼鐵工業,嘉興村,雲林縣大埤鄉嘉興村豐盛街4號,"23.63739, 120.46435",1.0,81.0,斗南分局,382.0,,雲林縣大埤鄉嘉興村豐盛街4號
豐田科技股份有限公司,嘉興村,雲林縣大埤鄉豐田路1號之1,"23.63739, 120.46666",1.0,127.0,斗南分局,383.0,,雲林縣大埤鄉豐田路1號之1
祥圃實業股份有限公司,嘉興村,雲林縣大埤鄉嘉興村豐田路57號,"23.63844, 120.46683",1.0,194.0,斗南分局,384.0,,雲林縣大埤鄉嘉興村豐田路57號
昌興機械工業股份有限公司,嘉興村,雲林縣大埤鄉嘉興村豐田路412號,"23.63374, 120.46693",1.0,60.0,斗南分局,385.0,,雲林縣大埤鄉嘉興村豐田路412號
金亞金屬工業,嘉興村,雲林縣大埤鄉嘉興村豐田村65號,"23.63374, 120.46693",1.0,160.0,斗南分局,386.0,,雲林縣大埤鄉嘉興村豐田村65號
,舊社里,雲林縣斗南鎮舊社里新生三路519巷1號,"23.66626, 120.47907",1.0,752.0,斗南分局,387.0,,雲林縣斗南鎮舊社里新生三路519巷1號
育明興業,舊社里,雲林縣斗南鎮舊社里信義路25巷15號,"23.6724,  120.48349",1.0,80.0,斗南分局,388.0,,雲林縣斗南鎮舊社里信義路25巷15號
鴻茂股份公司,舊社里,雲林縣斗南鎮舊社里信義路25巷5號,"23.67341, 120.48249",1.0,69.0,斗南分局,389.0,,雲林縣斗南鎮舊社里信義路25巷5號
亞美企業社,舊社里,雲林縣斗南鎮舊社里信義路66號,"23.67008, 120.48059",1.0,116.0,斗南分局,390.0,,雲林縣斗南鎮舊社里信義路66號
,豐崗村,雲林縣大埤鄉豐崗村仁和路2號之11,"23.66163, 120.42371",1.0,283.0,斗南分局,391.0,,雲林縣大埤鄉豐崗村仁和路2號之11
