類別,電腦編號,村里別,地址,"地下樓 層數",可容納人數,派出所,備註,經度,緯度
武聖廟圖書館,D301000005,興漢里,新北市新莊區興漢里景德路169號,1.0,447.0,新莊派出所,,121.4503,25.03409
新中大樓,D301000021,興漢里,新北市新莊區興漢里中正路213號,1.0,256.0,新莊派出所,,121.4513,25.03577
恆毅中學,D301000039,立人里,新北市新莊區立人里中正路108號,1.0,1536.0,新莊派出所,,121.4538,25.03655
新莊國小,D301000066,立人里,新北市新莊區立人里中正路86號,1.0,889.0,新莊派出所,,121.4564,25.03697
恆毅中學,D301000068,立人里,新北市新莊區立人里中正路108號,1.0,1536.0,新莊派出所,,121.4538,25.03655
公寓(向仁和),D301000079,文德里,新北市新莊區文德里大觀街42巷1號,1.0,174.0,新莊派出所,,121.4539,25.03561
基督長老教會,D301000080,興漢里,新北市新莊區興漢里武前街27號,1.0,131.0,新莊派出所,,121.4504,25.03275
公寓,D301000092,文聖里,新北市新莊區文聖里建中街32巷3號,1.0,182.0,新莊派出所,,121.4489,25.03782
恆毅中學,D301000099,立人里,新北市新莊區立人里中正路108號,1.0,362.0,新莊派出所,,121.4538,25.03655
地政所,D301000100,榮和里,新北市新莊區榮和里中華路1段3號,1.0,587.0,新莊派出所,,121.4518,25.03677
恆毅中學,D301000102,立人里,新北市新莊區立人里中正路108號,1.0,196.0,新莊派出所,,121.4538,25.03655
國泰第一新城社區,D301000110,全泰里,新北市新莊區全泰里建中街90巷3弄20號,1.0,1311.0,新莊派出所,,121.4458,25.0372
新莊國中,D301000111,榮和里,新北市新莊區榮和里中正路211號,1.0,621.0,新莊派出所,,121.452,25.0359
恆毅中學,D301000112,立人里,新北市新莊區立人里中正路108號,1.0,242.0,新莊派出所,,121.4538,25.03655
國民黨部,D301000114,榮和里,新北市新莊區榮和里景德路81號,1.0,238.0,新莊派出所,,121.4527,25.0348
國泰第一新城社區,D301000116,全泰里,新北市新莊區全泰里建中街90巷1弄1號,1.0,1385.0,新莊派出所,,121.4468,25.03699
天下第一家社區,D301000131,文聖里,新北市新莊區文聖里建中街35號,2.0,2053.0,新莊派出所,,121.4486,25.0373
新莊稅捐處,D301000133,忠孝里,新北市新莊區忠孝里仁愛街56號,1.0,361.0,新莊派出所,,121.4444,25.03719
新莊國中,D301000134,榮和里,新北市新莊區榮和里中正路211號,1.0,437.0,新莊派出所,,121.4525,25.03594
傑安幼兒園,D301000137,文明里,新北市新莊區文明里中正路161號,1.0,722.0,新莊派出所,,121.4555,25.0366
出租套房(公寓),D301000139,海山里,新北市新莊區海山里景德路540號,1.0,172.0,新莊派出所,,121.4435,25.0332
新莊國中,D301000141,榮和里,新北市新莊區榮和里中正路211號,1.0,467.0,新莊派出所,,121.4525,25.03594
豪門雙星社區,D301000142,文衡里,新北市新莊區文衡里景德路216巷2號,1.0,1150.0,新莊派出所,,121.449,25.03417
私人住宅大樓,D301000144,全泰里,新北市新莊區全泰里新泰路173號,1.0,191.0,新莊派出所,,121.4475,25.0374
私人住宅大樓,D301000149,榮和里,新北市新莊區榮和里新莊路222號,1.0,502.0,新莊派出所,,121.4528,25.03431
公寓,D301000151,興漢里,新北市新莊區興漢里中正路160號16,2.0,366.0,新莊派出所,,121.4513,25.03601
私人住宅大樓,D301000152,文明里,新北市新莊區文明里中正路17號,2.0,460.0,新莊派出所,,121.464,25.04097
私人住宅大樓,D301000153,立人里,新北市新莊區立人里中港路32號,1.0,631.0,新莊派出所,,121.4552,25.03744
私人住宅大樓,D301000154,立人里,新北市新莊區立人里永寧街28巷6號,1.0,265.0,新莊派出所,,121.4529,25.03865
私人住宅大樓,D301000155,榮和里,新北市新莊區榮和里永寧街5號7,3.0,1034.0,新莊派出所,,121.4524,25.03685
宏運米蘭社區,D301000156,全安里,新北市新莊區全安里中正路347巷17弄2號,2.0,537.0,新莊派出所,,121.4473,25.03426
公寓,D301000157,全安里,新北市新莊區全安里新豐街20巷7號13,1.0,354.0,新莊派出所,,121.4479,25.03452
私人住宅大樓,D301000158,興漢里,新北市新莊區興漢里景德路172號,1.0,165.0,新莊派出所,,121.4503,25.03422
新光人壽,D301000160,文明里,新北市新莊區文明里中正路149號,2.0,763.0,新莊派出所,,121.4562,25.03664
豐年世家社區,D301000162,海山里,新北市新莊區海山里豐年街52號,1.0,679.0,新莊派出所,,121.4464,25.03189
新泰綠園社區,D301000163,忠孝里,新北市新莊區忠孝里仁愛街49號,1.0,463.0,新莊派出所,,121.4442,25.03706
第一志願社區,D301000164,文明里,新北市新莊區文明里新莊路167號,1.0,974.0,新莊派出所,,121.4564,25.03585
壽安新城社區,D301000165,興漢里,新北市新莊區興漢里建興街52號1,2.0,3282.0,新莊派出所,,121.4501,25.03794
麒麟花園社區,D301000169,全泰里,新北市新莊區全泰里中正路300巷2號,1.0,152.0,新莊派出所,,121.4469,25.03527
私人住宅大樓,D301000170,全泰里,新北市新莊區全泰里中正路300巷10弄2號,1.0,287.0,新莊派出所,,121.4469,25.03569
私人住宅大樓,D301000172,全泰里,新北市新莊區全泰里建中街95號,1.0,848.0,新莊派出所,,121.4467,25.03622
私人住宅大樓,D301000173,全泰里,新北市新莊區全泰里新泰路131號,1.0,224.0,新莊派出所,,121.4481,25.0363
恆毅中學,D301000175,立人里,新北市新莊區立人里中正路108號,2.0,611.0,新莊派出所,,121.4538,25.03655
新莊區公所,D301000176,興漢里,新北市新莊區興漢里中正路176號,2.0,1353.0,新莊派出所,,121.4506,25.03583
私人住宅大樓,D301000177,文德里,新北市新莊區文德里大觀街42巷14號,1.0,470.0,新莊派出所,,121.4545,25.03614
新中大樓,D301000178,興漢里,新北市新莊區興漢里中正路213號,1.0,612.0,新莊派出所,,121.4513,25.03577
公寓,D301000179,興漢里,新北市新莊區興漢里中正路223巷12號,1.0,612.0,新莊派出所,,121.4513,25.03508
原尚紅歌友會,D301000183,文明里,新北市新莊區文明里中正路145-19號,2.0,491.0,新莊派出所,,121.458,25.0374
公寓,D301000184,海山里,新北市新莊區海山里新莊路649巷21號,1.0,479.0,新莊派出所,,121.44491,25.031705
私人住宅大樓,D301000186,立人里,新北市新莊區立人里中港路2號,1.0,994.0,新莊派出所,,121.455,25.03683
公寓,D301000188,立人里,新北市新莊區立人里中港路1號,1.0,825.0,新莊派出所,,121.4549,25.03683
盲人重建院,D301000191,忠孝里,新北市新莊區忠孝里中正路384號,1.0,445.0,新莊派出所,,121.4427,25.03419
千禧園社區,D301000192,全安里,新北市新莊區全安里中正路369號,1.0,675.0,新莊派出所,,121.4465,25.03474
公寓,D301000193,文德里,新北市新莊區文德里新莊路215號,1.0,575.0,新莊派出所,,121.4552,25.03531
?豫園社區,D301000194,榮和里,新北市新莊區榮和里中華路1段28號,1.0,109.0,新莊派出所,,121.452,25.03742
公寓,D301000195,興漢里,新北市新莊區興漢里武前街27號,1.0,158.0,新莊派出所,,121.4504,25.03275
日盛證券,D301000196,海山里,新北市新莊區海山里中正路379號,3.0,961.0,新莊派出所,,121.4463,25.03468
麗京A區社區,D301000197,全安里,新北市新莊區全安里中正路357號,2.0,1600.0,新莊派出所,,121.4468,25.03478
公寓,D301000198,安里里,新北市新莊區安里里中正路309號,1.0,46.0,新莊派出所,,121.4481,25.03509
私人住宅大樓,D301000199,全安里,新北市新莊區全安里中正路375號,1.0,56.0,新莊派出所,,121.4463,25.0347
公寓,D301000201,全安里,新北市新莊區全安里景德路302號,1.0,82.0,新莊派出所,,121.4477,25.03364
全坤峰景,D301000205,忠孝里,新北市新莊區忠孝里公園一路110號,1.0,1247.0,新莊派出所,,121.4444,25.03758
捷運臻寶社區,D301000206,文聖里,新北市新莊區文聖里建興街7號,3.0,685.0,新莊派出所,,121.45,25.03605
豐年世家社區,D301000209,海山里,新北市新莊區海山里中正路377巷26號,3.0,1711.0,新莊派出所,,121.4462,25.03377
公寓,D301000210,海山里,新北市新莊區海山里新莊路546號,1.0,256.0,新莊派出所,,121.4452,25.03301
台銀頂好社區,D301000211,文衡里,新北市新莊區文衡里景德252號,2.0,416.0,新莊派出所,,121.4488,25.03376
新莊寶贊大樓,D301000212,文衡里,新北市新莊區文衡里新泰103號,2.0,411.0,新莊派出所,,121.449,25.03506
公寓,D301000213,文衡里,新北市新莊區文衡里新豐街2之1號,1.0,201.0,新莊派出所,,121.449,25.03481
私人住宅大樓,D301000214,文聖里,新北市新莊區文聖里建中街6號,1.0,565.0,新莊派出所,,121.4498,25.03761
新莊消防分隊,D301000215,興漢里,新北市新莊區興漢里中正路170號,2.0,986.0,新莊派出所,,121.451,25.03594
戶政事務所,D301000217,榮和里,新北市新莊區榮和里中華路1段2號,1.0,378.0,新莊派出所,,121.4522,25.03641
新莊大囍社區,D301000218,文德里,新北市新莊區文德里碧江街18號1,3.0,315.0,新莊派出所,,121.4556,25.03502
龍躍大廈,D301000219,文德里,新北市新莊區文德里大觀街18號,1.0,111.0,新莊派出所,,121.4542,25.03464
公寓,D301000220,文德里,新北市新莊區文德里中正171號,1.0,259.0,新莊派出所,,121.4545,25.03647
五守新村社區,D301000221,立人里,新北市新莊區立人里中港路五守新村23巷2號,1.0,465.0,新莊派出所,,121.455,25.0387
新莊國小,D301000222,立人里,新北市新莊區立人里中正86號,1.0,567.0,新莊派出所,,121.4564,25.03697
清撥富悅,D301000223,文聖里,新北市新莊區文聖里中興街43號,1.0,140.0,新莊派出所,,121.4492,25.03695
吉泰臻寶社區,D301000224,文聖里,新北市新莊區文聖里建興街55號,1.0,241.0,新莊派出所,,121.4499,25.03769
永鼎國璽社區,D301000225,立人里,新北市新莊區立人里中正110號,1.0,1361.0,新莊派出所,,121.4535,25.03657
翔譽天心大樓,D301000226,忠孝里,新北市新莊區忠孝里中正路362號,1.0,778.0,新莊派出所,,121.4434,25.03434
新莊國小,D301000227,立人里,新北市新莊區立人里中正86號,1.0,970.0,新莊派出所,,121.4564,25.03697
傳家尊爵,D301000228,文衡里,新北市新莊區文衡里新泰42號,1.0,408.0,新莊派出所,,121.4495,25.03432
