電腦編號,地址,轄管分局,建築物名稱,縣(市),鄉鎮市區,避難樓層,"防空避難設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）","建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",不設標誌牌,placemark_address
KMA00571,南投市平和里信義街1號,南投分局,上毅建設,南投縣,南投市,1.0,2078.31,v,1443.0,1997.6.20,12/31/2022,,南投市平和里信義街1號
KMA00593,南投市平和里中興路466號,南投分局,通力國寶,南投縣,南投市,1.0,7533.2,v,5231.0,1997.6.20,12/31/2022,,南投市平和里中興路466號
KMA00521,南投市平和里中興路510.516號,南投分局,簡氏宗親會,南投縣,南投市,1.0,159.36,v,110.0,1997.6.20,12/31/2022,,南投市平和里中興路510.516號
KMA00230,南投市三和里中興路700號,南投分局,南投救國團,南投縣,南投市,1.0,277.0,v,192.0,1997.6.20,12/31/2022,,南投市三和里中興路700號
KMA00286,南投市三和里復興路101號,南投分局,台灣銀行,南投縣,南投市,1.0,1004.0,v,697.0,1997.6.20,12/31/2022,不設,南投市三和里復興路101號
KMA00509,南投市三和里彰南路一段966號,南投分局,宏光隱形眼鏡,南投縣,南投市,1.0,157.47,v,109.0,1997.6.20,12/31/2022,,南投市三和里彰南路一段966號
KMA00364,南投市彰仁里復興路236號,南投分局,華南銀行,南投縣,南投市,1.0,359.77,v,249.0,1997.6.20,12/31/2022,,南投市彰仁里復興路236號
KMA00598,南投市嘉和里大庄路94號,南投分局,南崗國中,南投縣,南投市,1.0,205.0,v,142.0,1998.8.17,12/31/2022,,南投市嘉和里大庄路94號
KMA00601,南投市嘉和里中興路870號,南投分局,南基醫院,南投縣,南投市,1.0,736.72,v,511.0,1997.6.20,12/31/2022,,南投市嘉和里中興路870號
KMA00644,南投市嘉和里樂利路201號,南投分局,南投國宅,南投縣,南投市,1.0,1908.8,v,1325.0,1999.7.21,12/31/2022,,南投市嘉和里樂利路201號
KMA00625,南投市三和里公園南街97號,南投分局,許陳梅雀,南投縣,南投市,1.0,563.5,v,391.0,1997.7.11,12/31/2022,,南投市三和里公園南街97號
KMA00607,南投市三和里復興路2號,南投分局,南投縣政府稅務局,南投縣,南投市,1.0,1936.43,v,1344.0,1997.6.20,12/31/2022,,南投市三和里復興路2號
KMA00310,南投市三和里復興路6號,南投分局,南投縣衛生局,南投縣,南投市,1.0,75.35,v,52.0,1997.6.20,12/31/2022,,南投市三和里復興路6號
KMA00358,南投市三和里三和二路30號,南投分局,南投郵局,南投縣,南投市,1.0,670.11,v,465.0,1997.6.20,12/31/2022,不設,南投市三和里三和二路30號
KMA00603,南投市三和里三和二路11號,南投分局,遠東銀行,南投縣,南投市,1.0,590.64,v,410.0,1997.6.20,12/31/2022,不設,南投市三和里三和二路11號
KMA00595,南投市彰南路二段16號,南投分局,通力建設,南投縣,南投市,1.0,170.21,v,118.0,1997.6.20,12/31/2022,,南投市彰南路二段16號
KMA00376,南投市彰南路二段9號,南投分局,楊明勳民宅,南投縣,南投市,1.0,219.05,v,152.0,1997.6.20,12/31/2022,,南投市彰南路二段9號
KMA00414,南投市南投里民族路276號,南投分局,百事特童裝,南投縣,南投市,1.0,175.82,v,122.0,1997.6.20,12/31/2022,,南投市南投里民族路276號
KMA00413,南投市南投里民族路274號,南投分局,TS髮型沙龍,南投縣,南投市,1.0,65.53,v,45.0,1997.6.20,12/31/2022,,南投市南投里民族路274號
KMA00131,南投市軍功里東山路82號,南投分局,南投酒廠,南投縣,南投市,1.0,179.0,v,124.0,1997.6.20,12/31/2022,,南投市軍功里東山路82號
KMA00645,南投市平和里民族路160號,南投分局,交通部電信總局,南投縣,南投市,2.0,1430.0,v,993.0,1999.7.21,12/31/2022,不設,南投市平和里民族路160號
KMA00583,南投市嘉和里忠孝八街12號,南投分局,錦繡官邸,南投縣,南投市,1.0,1028.52,v,714.0,1997.6.20,12/31/2022,,南投市嘉和里忠孝八街12號
KMA00563,南投市嘉和里彰南路一段674巷29號,南投分局,金山建設公司,南投縣,南投市,1.0,554.09,v,384.0,1997.6.20,12/31/2022,,南投市嘉和里彰南路一段674巷29號
KMA00070,南投市東山里東山路13號,南投分局,觀音寺,南投縣,南投市,1.0,64.0,v,44.0,1997.6.20,12/31/2022,,南投市東山里東山路13號
KMA00637,南投市康壽里南陽路26-9號,南投分局,康壽國小,南投縣,南投市,1.0,1149.11,v,797.0,1998.9.11,12/31/2022,,南投市康壽里南陽路26-9號
KMA00359,南投市康壽里中山街214號,南投分局,林華騰民宅,南投縣,南投市,1.0,50.12,v,34.0,1997.6.20,12/31/2022,,南投市康壽里中山街214號
KMA00285,南投市康壽里復興路478號,南投分局,南投醫院,南投縣,南投市,1.0,1113.0,v,772.0,1997.6.20,12/31/2022,,南投市康壽里復興路478號
KMA00596,南投市康壽里南陽路343號,南投分局,美滿天廈,南投縣,南投市,1.0,1546.0,v,1073.0,1997.6.20,12/31/2022,,南投市康壽里南陽路343號
KMA00283,南投市三興里建國路201號,南投分局,南投市文化中心,南投縣,南投市,1.0,2783.0,v,1932.0,1997.6.20,12/31/2022,,南投市三興里建國路201號
KMA00616,南投市崇文里復興路139號,南投分局,台灣中小企業銀行,南投縣,南投市,1.0,178.12,v,123.0,1997.6.20,12/31/2022,不設,南投市崇文里復興路139號
KMA00615,南投市崇文里文昌街45號,南投分局,南投市農會,南投縣,南投市,1.0,800.38,v,555.0,1997.6.20,12/31/2022,不設,南投市崇文里文昌街45號
KMA00614,南投市崇文里中山街38號,南投分局,霖谷建設,南投縣,南投市,1.0,286.36,v,198.0,1997.6.20,12/31/2022,,南投市崇文里中山街38號
KMA00503,南投市崇文里彰南路二段1059號,南投分局,南投國小,南投縣,南投市,1.0,76.24,v,52.0,1997.6.20,12/31/2022,,南投市崇文里彰南路二段1059號
KMA00012,南投市崇文里文昌街87號,南投分局,移民署,南投縣,南投市,1.0,150.0,v,104.0,1997.6.20,12/31/2022,,南投市崇文里文昌街87號
KMA00575,南投市三和里中興路759號,南投分局,南投地方法院,南投縣,南投市,1.0,1860.0,v,1291.0,1997.6.20,12/31/2022,,南投市三和里中興路759號
KMA00640,南投市龍泉里玉井街5號,南投分局,南投市公所,南投縣,南投市,1.0,1761.6,v,1223.0,1999.01.16,12/31/2022,,南投市龍泉里玉井街5號
KMA00582,南投市平和里信義街250號,南投分局,尚品建設,南投縣,南投市,1.0,753.75,v,523.0,1997.6.20,12/31/2022,,南投市平和里信義街250號
KMA00565,南投市平和里信義街169號,南投分局,陳淑芳民宅,南投縣,南投市,1.0,125.03,v,86.0,1997.6.20,12/31/2022,,南投市平和里信義街169號
KMA00328,南投市三民里中山一街3號,南投分局,中華電信,南投縣,南投市,1.0,328.33,v,228.0,1997.6.20,12/31/2022,不設,南投市三民里中山一街3號
KMA00590,南投市軍功里東山路443巷2號,南投分局,中友建設,南投縣,南投市,1.0,2949.0,v,2047.0,1997.6.20,12/31/2022,,南投市軍功里東山路443巷2號
KMA00628,南投市軍功里東山路443巷27號,南投分局,中友建設,南投縣,南投市,1.0,2573.93,v,1787.0,1997.6.20,12/31/2022,,南投市軍功里東山路443巷27號
KMA00329,南投市三興里建國路88號,南投分局,趙明森民宅,南投縣,南投市,1.0,40.8,v,28.0,1997.6.20,12/31/2022,,南投市三興里建國路88號
KMA00602,南投市三興里民族路494號,南投分局,南投縣政府消防局,南投縣,南投市,1.0,828.35,v,575.0,1997.6.20,12/31/2022,,南投市三興里民族路494號
KMA00604,南投市三里里文化路17號,南投分局,廖來進民宅,南投縣,南投市,1.0,3096.56,v,2150.0,1997.6.20,12/31/2022,,南投市三里里文化路17號
KMA00618,南投市三興里彰南路一段963號,南投分局,南投高商,南投縣,南投市,1.0,507.79,v,352.0,1997.6.20,12/31/2022,,南投市三興里彰南路一段963號
KMA00619,南投市三興里建國路97號,南投分局,霖谷建設,南投縣,南投市,1.0,1031.97,v,716.0,1997.6.20,12/31/2022,,南投市三興里建國路97號
KMA00639,南投市三興里建國路18號,南投分局,名人世家,南投縣,南投市,1.0,1117.31,v,775.0,1998.11.18,12/31/2022,,南投市三興里建國路18號
KMA00630,南投市三興里建國路137號,南投分局,南投高中,南投縣,南投市,1.0,507.0,v,352.0,1999.7.21,12/31/2022,,南投市三興里建國路137號
KMA00635,南投市三興里民族路436號,南投分局,台灣電力公司,南投縣,南投市,1.0,33.9,v,23.0,1999.7.21,12/31/2022,不設,南投市三興里民族路436號
KMA00674,南投市三和里中興路669號,南投分局,南投縣立圖書館,南投縣,南投市,2.0,1746.33,v,1212.0,2018.1.3,12/31/2022,,南投市三和里中興路669號
KMA00675,南投市三和里三和三路21號,南投分局,彰化客運,南投縣,南投市,2.0,10352.88,v,7189.0,2018.1.3,12/31/2022,,南投市三和里三和三路21號
KMA00676,南投市彰南路一段550號,南投分局,台灣自來水公司,南投縣,南投市,2.0,199.35,v,138.0,2018.1.3,12/31/2022,,南投市彰南路一段550號
KMA00677,南投市三興里民族路499號,南投分局,南投縣家畜防治所,南投縣,南投市,2.0,645.34,v,448.0,2018.1.3,12/31/2022,,南投市三興里民族路499號
KMA00678,南投市三和里三和三路13號,南投分局,國泰人壽保險公司,南投縣,南投市,2.0,267.48,v,185.0,2018.1.3,12/31/2022,,南投市三和里三和三路13號
KMA00679,南投市三和里中興路660號,南投分局,南投縣政府,南投縣,南投市,2.0,12328.61,v,8561.0,2018.1.3,12/31/2022,,南投市三和里中興路660號
KMA00680,南投市三和里三和二路60號,南投分局,南投縣地政事務所,南投縣,南投市,1.0,708.17,v,491.0,2018.1.3,12/31/2022,,南投市三和里三和二路60號
KMA00681,南投市千秋里千秋路13巷1號,南投分局,千秋國小,南投縣,南投市,1.0,283.04,v,196.0,2018.1.3,12/31/2022,
