類別,電腦編號,里別,座落,緯度,經度,新計算容量(值),轄管分局
一般住宅,FNA00075,復中里,新竹市東區復中里民生路268號,24.8129318,120.9751533,287.0,第二分局
一般住宅,FNA00077,復興里,新竹市東區復興里中華路一段384巷2號,24.8127539,120.9855656,220.0,第二分局
一般住宅,FNA00078,復興里,新竹市東區復興里中華路一段384巷6弄14號,24.8127404,120.9853359,227.0,第二分局
一般住宅,FNA00081,復中里,新竹市東區復中里中央路281巷19號,24.8109684,120.9773626,304.0,第二分局
一般住宅,FNA00083,復中里,新竹市東區復中里民生路231號,24.8119899,120.9754471,47.0,第二分局
一般住宅,FNA00085,文華里,新竹市東區文華里田美三街22巷6弄28號,24.8155464,120.9773092,144.0,第二分局
一般住宅,FNA00087,復興里,新竹市東區復興里經國路一段379巷42號,24.8132232,120.9797743,342.0,第二分局
一般住宅,FNA00088,復興里,新竹市東區復興里中央路356號,24.8107939,120.9790972,136.0,第二分局
公有建築物,FNA00089,文華里,新竹市東區文華里田美三街2號,24.8148232,120.9771424,561.0,第二分局
一般住宅,FNA00090,復中里,新竹市東區復中里民權路99號,24.8075441,120.975213,85.0,第二分局
一般住宅,FNA00098,復興里,新竹市東區復興里民主路176號,24.8129569,120.9780479,77.0,第二分局
一般住宅,FNA00112,復興里,新竹市東區復興里自由路95巷18弄10號,24.8133321,120.9794361,54.0,第二分局
一般住宅,FNA00113,文華里,新竹市東區文華里北大路92巷28號,24.8127069,120.969577,283.0,第二分局
一般住宅,FNA00114,復中里,新竹市東區復中里民生路70巷16號,24.8085463,120.9782461,74.0,第二分局
一般住宅,FNA00115,復興里,新竹市東區復興里經國路一段379巷35號,24.813661,120.979865,43.0,第二分局
一般住宅,FNA00117,復中里,新竹市東區復中里中央路172號,24.808515,120.9737324,54.0,第二分局
一般住宅,FNA00119,復興里,新竹市東區復興里自由路95巷28弄26號,24.8128274,120.9792412,48.0,第二分局
一般住宅,FNA00122,文華里,新竹市東區文華里北大路22號,24.8133,120.9734842,160.0,第二分局
一般住宅,FNA00123,復中里,新竹市東區復中里民生路260巷1弄7-1號,24.8129845,120.9753801,147.0,第二分局
一般住宅,FNA00130,復興里,新竹市東區復興里經國路一段379巷10弄28號,24.8136046,120.9781503,281.0,第二分局
一般住宅,FNA00138,復中里,新竹市東區復中里民權路204號,24.8104095,120.9734677,590.0,第二分局
一般住宅,FNA00140,文華里,新竹市東區文華里田美三街22巷6弄20號,24.8155464,120.9773092,33.0,第二分局
一般住宅,FNA00141,文華里,新竹市東區文華里北大路70巷6號,24.8120356,120.9710783,131.0,第二分局
一般住宅,FNA00143,復興里,新竹市東區復興里經國路一段379巷21號,24.8138251,120.979728,42.0,第二分局
供公眾使用建築物,FNA00147,復興里,新竹市東區復興里中央路331巷3號,24.8114487,120.9785116,91.0,第二分局
一般住宅,FNA00148,復興里,新竹市東區復興里經國路一段379巷9號,24.8141046,120.9793606,261.0,第二分局
供公眾使用建築物,FNA00150,復中里,"新竹市東區復中里7鄰中央路229號 B4",24.8094861,120.974721,16301.0,第二分局
一般住宅,FNA00153,錦華里,新竹市東區錦華里民生路287號,24.8133978,120.9743792,216.0,第二分局
公有建築物,FNA00154,文華里,新竹市東區文華里北大路94號,24.8113456,120.9703661,214.0,第二分局
一般住宅,FNA00158,復中里,"新竹市東區復中里中央路162巷1號 B2",24.8082201,120.973583,374.0,第二分局
一般住宅,FNA00160,復中里,"新竹市東區復中里6鄰中央路210號 B1",24.8089451,120.974862,161.0,第二分局
一般住宅,FNA00162,復興里,新竹市東區復興里自由路105號,24.813916,120.979948,61.0,第二分局
一般住宅,FNA00164,復興里,"新竹市東區復興里9鄰自由路109號 B2",24.814054,120.9797001,238.0,第二分局
一般住宅,FNA00166,復中里,新竹市東區復中里民生路203、205號,24.8114357,120.9759014,31.0,第二分局
一般住宅,FNA00168,復中里,"新竹市東區復中里2鄰中央路183號 B1",24.8086351,120.9732245,114.0,第二分局
一般住宅,FNA00169,復中里,新竹市東區復中里民生路170巷13、15號,24.811387,120.9771388,252.0,第二分局
一般住宅,FNA00171,復中里,新竹市東區復中里民生路268號,24.8129318,120.9751533,164.0,第二分局
一般住宅,FNA00172,復中里,新竹市東區復中里民生路211巷1-15號,24.8113299,120.9754823,88.0,第二分局
一般住宅,FNA00175,復中里,新竹市東區復中里錦華街18巷4號,24.809329,120.973124,28.0,第二分局
一般住宅,FNA00177,復興里,新竹市東區復興里經國路339號,24.81456,120.981372,94.0,第二分局
一般住宅,FNA00180,文華里,新竹市東區文華里北大路70巷21號,24.8122137,120.970833,52.0,第二分局
一般住宅,FNA00185,復中里,新竹市東區復中里錦華街18巷19號,24.809737,120.973166,20.0,第二分局
公有建築物,FNA00186,綠水里,新竹市東區綠水里10鄰光復路二段321號,24.8004074,120.9883064,20.0,第二分局
一般住宅,FNA00188,文華里,新竹市東區文華里北大路40巷1號,24.8129433,120.9725852,30.0,第二分局
一般住宅,FNA00189,復興里,新竹市東區復興里15鄰中華路一段384巷8弄21號B1,24.8127404,120.9853359,56.0,第二分局
一般住宅,FNA00190,復中里,新竹市東區復中里民生路170巷39、41號,24.8113658,120.9771548,182.0,第二分局
一般住宅,FNA00193,復中里,新竹市東區復中里民生路18巷135號,24.8076086,120.9792339,24.0,第二分局
一般住宅,FNA00194,文華里,新竹市東區文華里光華街27巷2、4號,24.8147497,120.9722322,96.0,第二分局
一般住宅,FNA00195,復中里,新竹市東區復中里民生路194號,24.811425,120.976359,273.0,第二分局
一般住宅,FNA00197,復中里,新竹市東區復中里中央路323號,24.8109962,120.9788807,107.0,第二分局
一般住宅,FNA00198,復興里,新竹市東區復興里經國路一段379巷29,24.8137851,120.979765,230.0,第二分局
供公眾使用建築物,FNA00201,復興里,新竹市東區復興里經國路一段379巷5號,24.814334,120.979312,172.0,第二分局
一般住宅,FNA00203,錦華里,新竹市東區錦華里民生路279號,24.8130842,120.9746122,228.0,第二分局
一般住宅,FNA00204,復興里,新竹市東區復興里自由路95巷18弄5、7號,24.813053,120.979047,17.0,第二分局
公有建築物,FNA00205,復中里,新竹市東區復中里民權路216巷11弄7號,24.8109752,120.9734434,385.0,第二分局
一般住宅,FNA00206,文華里,新竹市東區文華里北大路92巷20號,24.8122128,120.969966,303.0,第二分局
一般住宅,FNA00207,復中里,新竹市東區復中里錦華街6號,24.808847,120.9730674,300.0,第二分局
一般住宅,FNA00208,錦華里,新竹市東區錦華里北大路5號,24.8134084,120.9740769,365.0,第二分局
一般住宅,FNA00210,復中里,新竹市東區復中里中央路318號,24.8103921,120.9783156,183.0,第二分局
一般住宅,FNA00211,復中里,新竹市東區復中里民權路229號,24.8119884,120.9718697,135.0,第二分局
一般住宅,FNA00212,復興里,"新竹市東區復興里自由路67號 B1",24.8130109,120.9806973,539.0,第二分局
一般住宅,FNA00213,復興里,新竹市東區復興里中央路342號,24.8106024,120.9788151,100.0,第二分局
一般住宅,FNA00214,復興里,新竹市東區復興里經國路一段393號,24.814363,120.9784988,246.0,第二分局
一般住宅,FNA00215,復中里,"新竹市東區復中里17鄰中央路281巷28之1號 B1",24.8111424,120.9774234,1303.0,第二分局
供公眾使用建築物,FNA00216,錦華里,"新竹市東區錦華里18鄰北大路57號 B1",24.8123473,120.9724128,197.0,第二分局
一般住宅,FNA00217,復興里,新竹市東區復興里中央路331巷68號,24.8119618,120.9776217,630.0,第二分局
一般住宅,FNA00218,復中里,新竹市東區復中里民生路233號,24.812027,120.9754428,733.0,第二分局
供公眾使用建築物,FNA00220,文華里,新竹市東區文華里光華南街8號,24.8153373,120.9756832,208.0,第二分局
一般住宅,FNA00221,復中里,新竹市東區復中里民生路11號,24.8073072,120.9793969,197.0,第二分局
一般住宅,FNA00222,復中里,新竹市東區復中里中央路174號,24.8085515,120.9738059,290.0,第二分局
一般住宅,FNA00223,復興里,新竹市東區復興里民主路211號,24.813554,120.97721,301.0,第二分局
一般住宅,FNA00224,復興里,新竹市東區復興里民主路253號,24.8140382,120.9769535,603.0,第二分局
一般住宅,FNA00225,復中里,新竹市東區復中里中央路172號,24.808515,120.9737324,135.0,第二分局
一般住宅,FNA00226,復中里,新竹市東區復中里民權路136號,24.8083705,120.9748061,236.0,第二分局
一般住宅,FNA00227,復中里,新竹市東區復中里民生路126號,24.8101055,120.9772641,390.0,第二分局
一般住宅,FNA00231,文華里,新竹市東區文華里經國路一段680號,24.8144241,120.9738119,167.0,第二分局
一般住宅,FNA00235,文華里,新竹市東區文華里北大路22號,24.8133,120.9734842,480.0,第二分局
一般住宅,FNA00236,文華里,"新竹市東區文華里經國路一段540-1號 B2",24.8145944,120.9763838,1312.0,第二分局
一般住宅,FNA00237,文華里,新竹市東區文華里經國路一段682號,24.8144396,120.9737065,218.0,第二分局
一般住宅,FNA00238,文華里,新竹市東區文華里經國路一段678號,24.8144507,120.974406,206.0,第二分局
公有建築物,FNA00239,復興里,新竹市東區復興里中央路345號,24.8129363,120.9797227,733.0,第二分局
一般住宅,FNA00240,復中里,新竹市東區復中里民生路202號,24.8116944,120.9760133,331.0,第二分局
一般住宅,FNA00241,復中里,新竹市東區復中里民生路253號,24.8124673,120.9750345,595.0,第二分局
一般住宅,FNA00243,文華里,新竹市東區文華里北大路38號,24.8128611,120.972843,431.0,第二分局
一般住宅,FNA00244,復興里,"新竹市東區復興里1鄰三民路121號 B1",24.8102682,120.9787748,129.0,第二分局
一般住宅,FNA00257,文華里,"新竹市東區文華里7鄰北大路10號 B1",24.8134972,120.9738832,1288.0,第二分局
公有建築物,FNA00258,東山里,新竹市東區東山里學府路20號,24.7947004,120.9790574,30.0,第二分局
一般住宅,FNA00267,東園里,新竹市東區東園里東園街81號,24.8031375,120.9845027,53.0,第二分局
一般住宅,FNA00271,前溪里,新竹市東區前溪里中華路一段164號,24.8150916,120.9923308,8.0,第二分局
供公眾使用建築物,FNA00272,前溪里,新竹市東區前溪里中華路一段251號,24.8126358,120.9895966,16.0,第二分局
公有建築物,FNA00277,東山里,新竹市東區東山里學府路20號,24.7946779,120.9790915,264.0,第二分局
公有建築物,FNA00280,建華里,新竹市東區建華里1鄰學府路4號,24.7943066,120.9780354,100.0,第二分局
一般住宅,FNA00281,東山里,新竹市東區東山里2鄰學府路105號,24.7950188,120.9790258,25.0,第二分局
一般住宅,FNA00283,建華里,新竹市東區建華里13學府路61巷17號,24.7947428,120.9772149,76.0,第二分局
一般住宅,FNA00286,錦華里,新竹市東區錦華里5鄰世界街31號,24.8099933,120.9716235,70.0,第二分局
一般住宅,FNA00287,武功里,"新竹市東區武功里1鄰建中一路10號 B1",24.800767,120.9939936,23033.0,第二分局
公有建築物,FNA00288,東山里,新竹市東區東山里1鄰學府路20號,24.7946779,120.9790915,726.0,第二分局
一般住宅,FNA00289,東山里,新竹市東區東山里2鄰學府路153號,24.7953709,120.980078,28.0,第二分局
公有建築物,FNA00293,建華里,新竹市東區建華里1鄰學府路4號,24.7943066,120.9780354,144.0,第二分局
一般住宅,FNA00295,武功里,"新竹市東區武功里15鄰建中路30號 B1",24.800561,120.9947225,14205.0,第二分局
一般住宅,FNA00300,東勢里,新竹市東區東勢里東明街102號,24.804712,120.9878527,71.0,第二分局
一般住宅,FNA00305,東山里,新竹市東區東山里6鄰東山街1-11號,24.798075,120.9781988,232.0,第二分局
一般住宅,FNA00308,東園里,新竹市東區東園里1鄰光復路二段637號,24.8039825,120.9782326,82.0,第二分局
一般住宅,FNA00311,東山里,新竹市東區東山里6鄰東山街19號,24.7959689,120.9798683,45.0,第二分局
公有建築物,FNA00312,東山里,新竹市東區東山里1鄰學府路20號,24.7946779,120.9790915,215.0,第二分局
一般住宅,FNA00313,東山里,新竹市東區東山里6鄰東山街17號,24.7959222,120.9798907,43.0,第二分局
一般住宅,FNA00314,前溪里,新竹市東區前溪里9鄰中華路一段164號,24.8150867,120.9923386,26.0,第二分局
一般住宅,FNA00319,東山里,新竹市東區東山里6鄰東山街3號,24.795552,120.980185,92.0,第二分局
一般住宅,FNA00321,東山里,新竹市東區東山里14鄰食品路155巷31號,24.7964484,120.9772243,54.0,第二分局
一般住宅,FNA00324,東山里,新竹市東區東山里6鄰東山街17號,24.7959222,120.9798907,43.0,第二分局
一般住宅,FNA00325,東山里,新竹市東區東山里6鄰東山街15號之2,24.7958397,120.9799432,44.0,第二分局
一般住宅,FNA00329,東園里,新竹市東區東園里6鄰光復路二段932號,24.8032066,120.9809968,188.0,第二分局
一般住宅,FNA00331,綠水里,新竹市東區綠水里8鄰東光路42巷21號,24.8017144,120.9884196,66.0,第二分局
一般住宅,FNA00333,東山里,新竹市東區東山里9鄰食品路115巷3之3號,24.7974629,120.9778405,86.0,第二分局
一般住宅,FNA00334,建華里,新竹市東區建華里14鄰學府路61巷2弄13號,24.7950147,120.9772579,142.0,第二分局
一般住宅,FNA00335,東山里,新竹市東區東山里2鄰學府路83號,24.79491,120.978357,293.0,第二分局
一般住宅,FNA00336,東山里,新竹市東區東山里3鄰東山街16巷13號,24.7960971,120.980835,78.0,第二分局
公有建築物,FNA00346,建華里,新竹市東區建華里2鄰學府路2號,24.7941111,120.9767425,487.0,第二分局
供公眾使用建築物,FNA00347,光明里,新竹市東區光明里9鄰水源街20-1號,24.798584,120.990506,110.0,第二分局
一般住宅,FNA00353,前溪里,新竹市東區前溪里10鄰中華路一段74號,24.8177247,120.9942979,52.0,第二分局
一般住宅,FNA00357,綠水里,新竹市東區綠水里園後街24號,24.8002233,120.9858917,152.0,第二分局
公有建築物,FNA00358,東山里,新竹市東區東山里1鄰學府路36號,24.794116,120.9819186,216.0,第二分局
一般住宅,FNA00366,光復里,新竹市東區光復里1鄰東明街97號之1,24.8048095,120.9881342,33.0,第二分局
一般住宅,FNA00367,建華里,新竹市東區建華里14鄰學府路61巷2弄7號,24.7950372,120.977706,61.0,第二分局
一般住宅,FNA00369,東山里,新竹市東區東山里6鄰東山街3號,24.795552,120.980185,62.0,第二分局
供公眾使用建築物,FNA00370,東園里,新竹市東區東園里14鄰中華路二段33號,24.8088365,120.9826966,186.0,第二分局
一般住宅,FNA00375,前溪里,新竹市東區前溪里9鄰中華路一段164號,24.8150867,120.9923386,18.0,第二分局
一般住宅,FNA00376,東山里,新竹市東區東山里15鄰食品路115巷2號,24.7975697,120.9774582,124.0,第二分局
一般住宅,FNA00387,前溪里,新竹市東區前溪里9鄰中華路一段176之12號,24.8146978,120.991888,14.0,第二分局
一般住宅,FNA00390,綠水里,新竹市東區綠水里11鄰博愛街2之16號,24.7986884,120.9824452,68.0,第二分局
一般住宅,FNA00391,綠水里,新竹市東區綠水里6鄰學府路391號,24.8000142,120.9864814,513.0,第二分局
一般住宅,FNA00393,東園里,"新竹市東區東園里15鄰鐵道路一段28巷15號 B1",24.8122461,120.9842476,11648.0,第二分局
一般住宅,FNA00394,綠水里,新竹市東區綠水里11鄰博愛街23號,24.7973103,120.9860473,515.0,第二分局
一般住宅,FNA00396,東山里,新竹市東區東山里2鄰學府路119號B1,24.7951143,120.9793394,40.0,第二分局
一般住宅,FNA00397,東山里,新竹市東區東山里17鄰食品路146號,24.7976671,120.9767649,273.0,第二分局
一般住宅,FNA00402,綠水里,新竹市東區綠水里1鄰學府路375號,24.7990906,120.9861418,45.0,第二分局
一般住宅,FNA00403,榮光里,新竹市東區榮光里8鄰中華路二段384巷3號,24.8030606,120.9728349,140.0,第二分局
一般住宅,FNA00404,綠水里,新竹市東區綠水里3鄰食品路67號,24.7986435,120.9790505,166.0,第二分局
一般住宅,FNA00408,東山里,新竹市東區東山里21鄰東山街81號,24.797601,120.9786413,30.0,第二分局
公有建築物,FNA00414,東山里,新竹市東區東山里1鄰學府路26號,24.7948292,120.9793037,337.0,第二分局
供公眾使用建築物,FNA00417,前溪里,新竹市東區前溪里8鄰中華路一段214號,24.8138289,120.9905735,50.0,第二分局
一般住宅,FNA00423,東勢里,新竹市東區東勢里7鄰東光路55號,24.8029417,120.9867629,924.0,第二分局
一般住宅,FNA00427,東山里,新竹市東區東山里2鄰學府路73號,24.7947709,120.9781473,50.0,第二分局
公有建築物,FNA00429,綠水里,新竹市東區綠水里2鄰博愛街75號,24.7983471,120.98331,216.0,第二分局
公有建築物,FNA00430,綠水里,新竹市東區綠水里2鄰博愛街75號,24.7983471,120.98331,72.0,第二分局
供公眾使用建築物,FNA00431,綠水里,"新竹市東區綠水里10鄰光復路二段293號 B4",24.8001617,120.9892207,2536.0,第二分局
供公眾使用建築物,FNA00432,綠水里,新竹市東區綠水里6鄰園後街4號之21,24.8004159,120.9864665,170.0,第二分局
一般住宅,FNA00437,綠水里,新竹市東區綠水里19鄰園後街28-34號,24.8003036,120.9854625,152.0,第二分局
公有建築物,FNA00440,綠水里,新竹市東區綠水里13鄰園後街25號,24.8000634,120.9851876,241.0,第二分局
一般住宅,FNA00442,綠水里,新竹市東區綠水里11鄰博愛街21號,24.7973214,120.9864407,118.0,第二分局
公有建築物,FNA00447,綠水里,新竹市東區綠水里13鄰園後街1號,24.8003547,120.9854503,423.0,第二分局
一般住宅,FNA00448,東園里,新竹市東區東園里5鄰忠孝路440號,24.802698,120.9831363,352.0,第二分局
一般住宅,FNA00450,建華里,新竹市東區建華里4鄰寶山路63號,24.7933165,120.9743961,497.0,第二分局
公有建築物,FNA00451,綠水里,新竹市東區綠水里2鄰博愛街75號,24.7983471,120.98331,366.0,第二分局
一般住宅,FNA00453,光明里,新竹市東區光明里15鄰光復路二段2號,24.7926731,121.002747,326.0,第二分局
一般住宅,FNA00459,綠水里,新竹市東區綠水里6鄰園後街8號,24.8003664,120.986442,198.0,第二分局
一般住宅,FNA00468,綠水里,"新竹市東區綠水里22鄰園後街76號 B1",24.8000426,120.9831285,1093.0,第二分局
供公眾使用建築物,FNA00478,東勢里,新竹市東區東勢里7鄰忠孝路300號,24.8044796,120.9846409,781.0,第二分局
一般住宅,FNA00481,東山里,新竹市東區東山里2鄰學府路149號B1,24.7954072,120.979958,48.0,第二分局
公有建築物,FNA00482,東山里,新竹市東區東山里1鄰學府路40號,24.7957682,120.9822096,280.0,第二分局
一般住宅,FNA00484,軍功里,新竹市東區軍功里2鄰光復路二段418號,24.7973404,120.9964329,136.0,第二分局
公有建築物,FNA00488,綠水里,新竹市東區綠水里3鄰食品路55號,24.7995155,120.9804855,240.0,第二分局
一般住宅,FNA00493,光復里,新竹市東區光復里1鄰忠孝路169號,24.8049489,120.9893637,102.0,第二分局
一般住宅,FNA00494,東園里,新竹市東區東園里14鄰中華路二段1號,24.8093195,120.9833905,1053.0,第二分局
公有建築物,FNA00495,綠水里,新竹市東區綠水里11鄰博愛街2號之4,24.7977788,120.9885713,455.0,第二分局
一般住宅,FNA00497,光復里,新竹市東區光復里14鄰東勢街175號之2,24.8037001,120.9885891,342.0,第二分局
一般住宅,FNA00498,東園里,新竹市東區東園里6鄰光復路二段912號,24.8030446,120.9814307,315.0,第二分局
一般住宅,FNA00500,東園里,新竹市東區東園里3鄰光復路二段882號,24.802916,120.982224,575.0,第二分局
一般住宅,FNA00501,東山里,新竹市東區東山里21鄰東山街85號,24.7976864,120.9785676,112.0,第二分局
一般住宅,FNA00504,東山里,新竹市東區東山里12鄰培英街55號,24.7954482,120.9781539,302.0,第二分局
供公眾使用建築物,FNA00505,綠水里,新竹市東區綠水里16鄰博愛街116號,24.7993251,120.9819613,227.0,第二分局
公有建築物,FNA00506,東山里,新竹市東區東山里1鄰學府路36號,24.794116,120.9819186,586.0,第二分局
一般住宅,FNA00507,建華里,新竹市東區建華里14鄰學府路61巷35號,24.7946892,120.977593,221.0,第二分局
一般住宅,FNA00508,光復里,"新竹市東區光復里13鄰新光路73號 B2",24.8034748,120.989185,839.0,第二分局
一般住宅,FNA00509,建華里,新竹市東區建華里15鄰寶山路145巷15號,24.7924261,120.9768794,1047.0,第二分局
一般住宅,FNA00511,光復里,新竹市東區光復里2鄰東明街101號,24.8045168,120.9880726,723.0,第二分局
公有建築物,FNA00512,綠水里,新竹市東區綠水里9鄰學府路128號,24.7967589,120.9845625,562.0,第二分局
一般住宅,FNA00513,東山里,新竹市東區東山里12鄰培英街45號,24.7958982,120.978156,510.0,第二分局
一般住宅,FNA00518,光復里,新竹市東區光復里11鄰光復路二段760號,24.8009146,120.988175,537.0,第二分局
一般住宅,FNA00519,東園里,新竹市東區東園里11鄰中華路1段324號,24.8109968,120.9870725,445.0,第二分局
一般住宅,FNA00522,東山里,新竹市東區東山里9鄰培英街10號,24.7978107,120.9780746,104.0,第二分局
一般住宅,FNA00530,關東里,"新竹市東區關東里光復路1段332號 B1",24.7829036,121.0187424,686.0,第二分局
一般住宅,FNA00534,仙水里,新竹市東區仙水里光復路1段358號,24.783363,121.0179661,213.0,第二分局
一般住宅,FNA00537,新莊里,新竹市東區新莊里光復路一段378號,24.7843313,121.0152829,10.0,第二分局
供公眾使用建築物,FNA00539,關東里,新竹市東區關東里3鄰光復路一段20號,24.7807752,121.0264831,139.0,第二分局
一般住宅,FNA00541,新莊里,"新竹市東區新莊里11鄰新莊街51號 B1",24.7852791,121.015754,795.0,第二分局
一般住宅,FNA00546,金山里,新竹市東區金山里00鄰光復路一段313號,24.7825469,121.0188226,118.0,第二分局
一般住宅,FNA00547,金山里,新竹市東區金山里光復路一段84號,24.7814226,121.024475,69.0,第二分局
供公眾使用建築物,FNA00548,仙水里,"新竹市東區仙水里6鄰光復路一段257號 B1",24.7807084,121.0197463,747.0,第二分局
一般住宅,FNA00549,金山里,新竹市東區金山里光復路1段16號,24.7813126,121.0261737,194.0,第二分局
一般住宅,FNA00550,金山里,新竹市東區金山里光復路1段531巷76號,24.7830221,121.0130315,138.0,第二分局
一般住宅,FNA00551,新莊里,新竹市東區新莊里26鄰新莊街77號B1,24.7859119,121.0161511,286.0,第二分局
供公眾使用建築物,FNA00552,仙水里,"新竹市東區仙水里光復路1段227號 B4",24.7817484,121.0205401,919.0,第二分局
一般住宅,FNA00554,金山里,新竹市東區金山里光復路1段89巷125號,24.778604,121.025163,298.0,第二分局
一般住宅,FNA00555,金山里,"新竹市東區金山里17鄰光復路1段38號 B1-B2",24.7813231,121.025626,1557.0,第二分局
一般住宅,FNA00556,新莊里,新竹市東區新莊里新莊街30號,24.7841786,121.0152976,197.0,第二分局
一般住宅,FNA00559,新莊里,"新竹市東區新莊里24鄰新莊街220巷1-12號 B1",24.787908,121.017631,972.0,第二分局
一般住宅,FNA00566,新莊里,新竹市東區新莊里新莊街40.42號,24.7841786,121.0152976,127.0,第二分局
一般住宅,FNA00567,綠水里,新竹市東區綠水里13鄰綠水路36號,24.8000196,120.9854139,142.0,第二分局
一般住宅,FNA00568,金山里,新竹市東區金山里光復路1段108巷126弄128號,24.7815021,121.0240104,346.0,第二分局
一般住宅,FNA00569,關東里,新竹市東區關東里光復路1段30巷1弄7-9號,24.781299,121.025749,169.0,第二分局
一般住宅,FNA00571,新莊里,新竹市東區新莊里新莊街266巷27號,24.7836404,121.0164562,200.0,第二分局
一般住宅,FNA00572,新莊里,"新竹市東區新莊里26鄰光復路1段75號 B1",24.7811551,121.024425,1024.0,第二分局
一般住宅,FNA00575,新莊里,"新竹市東區新莊里10鄰新莊街85號 B1",24.7862812,121.0164354,774.0,第二分局
一般住宅,FNA00579,關東里,"新竹市東區關東里光復路1段354巷16弄14號 B1",24.7832082,121.018866,804.0,第二分局
一般住宅,FNA00580,新莊里,新竹市東區新莊里21鄰新莊街183號B1,24.7883375,121.0176877,482.0,第二分局
一般住宅,FNA00581,仙水里,新竹市東區仙水里光復路一段331號,24.7829205,121.018258,418.0,第二分局
一般住宅,FNA00582,仙水里,新竹市東區仙水里光復路1段531巷60號,24.7834661,121.0126559,374.0,第二分局
一般住宅,FNA00583,新莊里,新竹市東區新莊里11鄰新莊街142號B1,24.7841786,121.0152976,375.0,第二分局
公有建築物,FNA00586,中正里,"新竹市東區中正里3鄰中央路112號 B3-B4",24.806278,120.969909,1337.0,第二分局
一般住宅,FNA00588,仙水里,"新竹市東區仙水里光復路1段354巷16弄6號 B1",24.7833905,121.0187539,829.0,第二分局
一般住宅,FNA00589,仙水里,"新竹市東區仙水里2鄰光復路一段531巷72號 B1",24.78282,121.0127462,1152.0,第二分局
一般住宅,FNA00590,仙水里,"新竹市東區仙水里13鄰光復路一段270號 B3",24.7822993,121.0201851,1031.0,第二分局
