類別,電腦編號,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
台塑石化6100控制室(3路4道),674.0,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,132.0,臺西分局,
台塑石化公司福利大樓(東環路),675.0,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,3856.0,臺西分局,
台塑石化公司保養中心(3路),676.0,麥寮鄉三盛村工業園區路15號,"23.78826, 120.26005",1.0,558.0,臺西分局,
台塑石化公司三期單身宿舍(東環路),677.0,麥寮鄉三盛村工業園區路10號,"23.79846, 120.21764",1.0,1156.0,臺西分局,
台塑石化公司開關室(2．5路2道),678.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,849.0,臺西分局,
台塑石化公司碼槽控制室(5．2路8道),679.0,麥寮鄉三盛村工業園區號8號,"23.80258, 120.22138",1.0,1140.0,臺西分局,
台塑石化公司909控制室(北5路6．道),680.0,麥寮鄉三盛村工業園區號8號,"23.80258, 120.22138",1.0,53.0,臺西分局,
台塑石化8400操控室(南5路5．2道),681.0,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,106.0,臺西分局,
"台塑石化壓縮機房(2．5路6道)
",682.0,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,45.0,臺西分局,
台塑旭彈性纖維紡織重合(4．4道),683.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,254.0,臺西分局,
南亞塑膠公司抗氧化劑(1路3道),684.0,麥寮鄉三盛村工業園區號2號,"23.80527, 120.20751",1.0,206.0,臺西分局,
台塑石化Ｋ9000煉油行政大樓(3路3道),685.0,麥寮鄉三盛村工業園區路8號,"23.80118, 120.21301",1.0,833.0,臺西分局,
麥寮工業專用港港務行政大樓(環港路),686.0,麥寮鄉三盛村工業園區路22號,"23.79846, 120.21764",1.0,557.0,臺西分局,
台灣石化０ＳＢＬ控制室,687.0,麥寮鄉三盛村工業園區路17號,"23.7912,  120.25252",1.0,1822.0,臺西分局,
台灣塑膠公司碳纖廠房(5．5路),688.0,麥寮鄉三盛村工業園區路13號,"23.79631, 120.23238",1.0,353.0,臺西分局,
台塑石化公司(東碼頭),689.0,麥寮鄉三盛村工業園區路17號,"23.7912,  120.25252",1.0,1822.0,臺西分局,
台塑石化公司汽三區控制室(3路8道),690.0,麥寮鄉三盛村工業園區路17號,"23.7912,  120.25252",1.0,495.0,臺西分局,
不公開,691.0,麥寮鄉橋頭村仁德路236巷20號,"23.79806, 120.27489",1.0,133.0,臺西分局,
台灣塑膠公司(3路2道),692.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,1728.0,臺西分局,
麥寮汽電公司ＣＭ抽水站(南5路8道),693.0,麥寮鄉三盛村工業園區號七號,"23.797,  120.26525",1.0,9500.0,臺西分局,
麥寮汽電公司保養倉庫(南5路8道),694.0,麥寮鄉三盛村工業園區路7號,"23.797,  120.26525",1.0,170.0,臺西分局,
麥寮汽電公司輸儲煤開關室(5．5路8道),695.0,麥寮鄉三盛村工業園區路7號,"23.797,  120.26525",1.0,2433.0,臺西分局,
麥寮汽電公司ＥＰ控制室(5．5路7道),696.0,麥寮鄉三盛村工業園區路7號,"23.797,  120.26525",1.0,477.0,臺西分局,
台灣塑膠公司ＡＮ控制室(3路5道),697.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,829.0,臺西分局,
台灣塑膠公司製粒機廠房(3路2道),698.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,325.0,臺西分局,
南亞塑膠ＴＤ二公用廠房(2路1道),699.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,231.0,臺西分局,
南亞塑膠丁二醇公用廠房(2路3道),700.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,309.0,臺西分局,
南亞塑膠公司大豆公用廠房(2．6路1道),701.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,304.0,臺西分局,
麥寮汽電公司發電廠控制室(北5路8．3道),702.0,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
麥寮汽電909Ｃ控制室(北5路8．3道),703.0,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
麥寮汽電909Ｂ控制室(北5路8．3道),704.0,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
麥寮汽電909Ｄ控制室(北5路8．3道),705.0,麥寮鄉三盛村工業園區路7號,"23.797, 120.26525",1.0,478.0,臺西分局,
台塑石化ＭＴ-1控制室(3路4道),706.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,445.0,臺西分局,
台塑重工公司重工工程大樓,707.0,麥寮鄉三盛村31之205號,"23.79928, 120.24457",1.0,1120.0,臺西分局,
"台塑石化公 司煉油廠變電所(3．5路6道)",708.0,麥寮鄉工業園區路15號,"23.78826, 120.26005",1.0,909.0,臺西分局,
台塑石化公司汽二區特高站(汔電3路),709.0,麥寮鄉工業園區路15號,"23.78826, 120.26005",1.0,4610.0,臺西分局,
台塑石化公司ＥＳＰ控制室(發電3路),710.0,麥寮鄉工業園區路15號,"23.78826, 120.26005",1.0,495.0,臺西分局,
台塑石化公司煉油廠操作室(3．2路3道),711.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,132.0,臺西分局,
台塑石化Ｋ8200操作管理室(南5路6．2道),712.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,107.0,臺西分局,
台塑石化Ｋ8900操作管理室(南5路7道),713.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,206.0,臺西分局,
"台塑石化公司 410煉油大樓(南5路8道)",714.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,1489.0,臺西分局,
台塑石化東一碼頭發貨庫(環港路),715.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,54.0,臺西分局,
台塑石化東一貨淺查驗站(環港路),716.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,120.0,臺西分局,
台塑石化公司煉油Ｋ二600(3．2路6道),717.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,132.0,臺西分局,
台塑石化公司觸煤倉庫(3．7路2道),718.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,281.0,臺西分局,
台塑石化公司煉油廠630(3路4道),719.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,132.0,臺西分局,
台塑石化公司汽三區特高站(8道),720.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,4357.0,臺西分局,
台塑石化公司ＯＬ二控制室(6道),721.0,麥寮鄉三盛村工業園區號十七號,"23.797, 120.26525",1.0,1753.0,臺西分局,
台塑石化公司(6道),722.0,麥寮鄉三盛村工業園區路17號,"23.7912, 120.25252",1.0,180.0,臺西分局,
"台灣纖維公司Ｐ Ｐ控制室(6道)",723.0,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,677.0,臺西分局,
台灣化學纖維公司(6道),724.0,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,1475.0,臺西分局,
台灣化學纖維ＡＰ０二控制室(6道),725.0,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,369.0,臺西分局,
台灣化學纖維ＡＰ０控制室(6道),726.0,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,1252.0,臺西分局,
"台灣化學纖維海豐預製廠(6道)
",727.0,麥寮鄉三盛村工業園區路23號,"23.79922, 120.26217",1.0,135.0,臺西分局,
台灣塑膠公司ＩＥＭ控制室,728.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,873.0,臺西分局,
台灣塑膠ＩＥＭ公用廠房(2路2道),729.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,722.0,臺西分局,
台灣塑膠公司ＰＶＣ大樓(3路2道),730.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,1396.0,臺西分局,
"台塑石化公司
行政大樓(東環)
",731.0,麥寮鄉三盛村工業園區路1之1號,"23.79846, 120.21764",1.0,5320.0,臺西分局,
台灣化學纖維公司控制室(2．7路7道),732.0,麥寮鄉三盛村工業園區路5號,"23.79922, 120.26217",1.0,1022.0,臺西分局,
台塑石化Ｋ八三００控制室(3路7道),733.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,302.0,臺西分局,
"南亞塑膠二EH控制室(2路4道) 
",734.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,410.0,臺西分局,
南亞塑膠ＢＰＡ公用廠房(1道),735.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,166.0,臺西分局,
"南亞塑膠公司EG控制室(1路1道)
",736.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,1256.0,臺西分局,
台灣塑膠公司現場開關室(1路1道),737.0,麥寮鄉三盛村工業園區路1號,"23.79846, 120.21764",1.0,541.0,臺西分局,
"台塑重工公司
重工訓練大樓",738.0,麥寮鄉許厝路31之205號,"23.80137, 120.24348",1.0,1120.0,臺西分局,
台灣化學纖維556ＰＴＡ控制室(6道),739.0,麥寮鄉許厝31之200號,"23.80137, 120.24348",1.0,752.0,臺西分局,
台灣化學纖維552ＳＭ-1控制室(2路6道),740.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,306.0,臺西分局,
台灣化學纖維551ＡＲＯ控制室(5道),741.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,853.0,臺西分局,
台灣石化有限公司Ｈ棟宿舍(東環路),742.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,3799.0,臺西分局,
台塑石化705ＯＬ-1控制室(2路5道),743.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,1197.0,臺西分局,
台塑石化713汽電廠水處理區操作管理室(公用廠),744.0,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,1087.0,臺西分局,
台塑石化711汽電ＭＵ-1特定站(5道),745.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,5460.0,臺西分局,
台灣塑膠763ＭＶＣＭ控制室(2路2道),746.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,1265.0,臺西分局,
台灣塑膠761ＨＤＰＥ控制室(3路2道),747.0,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,1229.0,臺西分局,
台灣塑膠764ＨＤＰＥ自動倉儲(3路3道),748.0,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,105.0,臺西分局,
南亞塑膠公司(2路1道),749.0,麥寮鄉三盛村31-200號,"23.79136, 120.24804",1.0,117.0,臺西分局,
"南亞塑膠公司 824公用廠房(2路1道)",750.0,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,317.0,臺西分局,
"南亞塑膠公司 818公用廠房",751.0,麥寮鄉三盛村31之200號,"23.79918, 120.24882",1.0,552.0,臺西分局,
南亞塑膠801ＰＡ電控辦公室(4路1道),752.0,麥寮鄉三盛村31之200號,"23.79753, 120.239",1.0,302.0,臺西分局,
麥寮汽電906發電廠345ＫＶ超高壓站(3路8道),753.0,麥寮鄉三盛村31-200號,"23.79136, 120.24804",1.0,2942.0,臺西分局,
台灣化學纖維三六七ＰＳ廠控制室(7道),754.0,麥寮鄉三盛村工業園區路5號,"23.79922, 120.26217",1.0,366.0,臺西分局,
"台塑石化公司七四三資材中心 (南5路)",755.0,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,89.0,臺西分局,
"南亞塑膠公司ＢＰＡ公用廠房 ",756.0,麥寮鄉三盛村工業園區路2號,"23.78984, 120.26827",1.0,131.0,臺西分局,
台灣化學纖維ＰＣ廠中央控制室,757.0,麥寮鄉三盛村工業園區路3-1號,"23.79846, 120.21764",1.0,881.0,臺西分局,
台灣化學纖維甲基丁酚廠室,758.0,麥寮鄉三盛村工業園區路3-1號,"23.79846, 120.21764",1.0,159.0,臺西分局,
南亞塑膠公司ＥＧ3控制室,759.0,麥寮鄉三盛村工業園區路52號,"23.79846, 120.21764",1.0,876.0,臺西分局,
南亞塑膠公司,760.0,麥寮鄉三盛村工業園區路52號,"23.79846, 120.21764",1.0,1066.0,臺西分局,
行政院農業委員會水產試驗所海水繁養殖研究中心,761.0,臺西鄉五港村中央路271號,"23.71718, 120.19933",1.0,588.0,臺西分局,
臺西鄉鄉立圖書館,762.0,臺西鄉五港村五港路505號,"23.71705, 120.20169",1.0,53.0,臺西分局,
"四湖國民小學
",763.0,"四湖鄉四湖村中山東路 37號","23.63707, 120.22951",1.0,493.0,臺西分局,
不公開,764.0,四湖鄉四湖村中山東路5號,"23.6369, 120.2327",1.0,160.0,臺西分局,
臺西鄉崙豐國小活動中心,765.0,臺西鄉永豐村崙豐路47號,"23.72044, 120.20917",1.0,126.0,臺西分局,
不公開,766.0,東勢鄉東北村東勢東路300號,"23.67455, 120.26049",1.0,116.0,臺西分局,
不公開,767.0,東勢鄉東北村東勢東路349號,"23.67661, 120.26253",1.0,182.0,臺西分局,
不公開,768.0,東勢鄉東南村民生路56號,"23.6758, 120.25382",1.0,456.0,臺西分局,
"東勢惠安  診所
",769.0,東勢鄉東南村懷恩街46號,"23.67705, 120.25214",1.0,194.0,臺西分局,
一般住宅,770.0,麥寮鄉施厝村施厝65之1至3號,"23.79104, 120.28876",1.0,1778.0,臺西分局,
不公開,772.0,臺西鄉民生路78號,"23.69815, 120.19939",1.0,133.0,臺西分局,
臺西鄉禮儀館,773.0,臺西鄉海南村民族路299號,"23.68976, 120.1989",1.0,125.0,臺西分局,
不公開,774.0,"麥寮鄉麥津村中山路208號 ","23.74874, 120.25573",1.0,250.0,臺西分局,
麥寮鄉鄉民代表會,775.0,"麥寮鄉麥津村中興路109號 ","23.75316, 120.25195",1.0,20.0,臺西分局,
