電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註
SNA00001,民宅,東昌村,花蓮縣吉安鄉東海十五街25號,1.0,89人,
SNA00002,豪利建設(公寓),南昌村,花蓮縣吉安鄉昌隆六街6-2號,1.0,428人,
SNA00003,甜蜜家庭(公寓),南昌村,花蓮縣吉安鄉文化五街46號,1.0,2338人,
SNA00004,甜蜜家庭(公寓),南昌村,花蓮縣吉安鄉文化五街47號,1.0,1612人,
SNA00005,佳姿中山大樓(公寓),仁里村,花蓮縣吉安鄉中山路一段66號,1.0,626人,
SNA00006,上毅皇宮(公寓),宜昌村,花蓮縣吉安鄉中華路二段93號,1.0,1557人,
SNA00007,鈦鼎公司(公寓),東昌村,花蓮縣吉安鄉東海三街2號,1.0,1468人,
SNA00008,瑩豐建設公司(公寓),南昌村,花蓮縣吉安鄉南昌路78號,1.0,1645人,
SNA00009,年登建設公司(公寓),東昌村,花蓮縣吉安鄉東海十一街1號,1.0,980人,
SNA00010,點石建設公司(公寓),宜昌村,花蓮縣吉安鄉中華路二段183號,1.0,214人,
SNA00011,贊誠建設公司(公寓),南昌村,花蓮縣吉安鄉南昌北路68號,1.0,646人,
SNA00012,富貴大廈(公寓),仁里村,花蓮縣吉安鄉南埔八街52-1號,1.0,528人,
SNA00013,山海觀大樓(公寓),仁里村,花蓮縣吉安鄉中山路一段222號,2.0,2297人,
SNA00014,民宅,宜昌村,花蓮縣吉安鄉中山路二段116號,1.0,110人,
SNA00015,民宅,宜昌村,花蓮縣吉安鄉中山路二段118號,1.0,120人,
SNA00016,民宅,宜昌村,花蓮縣吉安鄉中山路二段120號,1.0,110人,
SNA00017,宜昌農會,宜昌村,花蓮縣吉安鄉中華路二段48號,1.0,200人,
SNA00018,南山人壽,宜昌村,花蓮縣吉安鄉南山一街12號,1.0,180人,
SNA00019,天主教會,宜昌村,花蓮縣吉安鄉中華路二段169號,1.0,310人,
SNA00020,民宅,宜昌村,花蓮縣吉安鄉宜昌七街24號,1.0,70人,
SNA00021,仁里郵局,仁里村,花蓮縣吉安鄉中正路一段48號,1.0,160人,
SNA00022,徐福錦(公寓),仁里村,花蓮縣吉安鄉東里一街36號,1.0,665人,
SNA00023,協榮石業公司,仁和村,花蓮縣吉安鄉南海八街205號,1.0,185人,
SNA00024,國產實業公司,仁安村,花蓮縣吉安鄉海濱1號,1.0,213人,
SNA00025,毅榮興業有限公司,仁安村,花蓮縣吉安鄉南海十街164號,1.0,92人,
SNA00026,永成大理石有限公司,光華村,花蓮縣吉安鄉華工四路6號,1.0,2324人,
SNA00027,易展石業有限公司,光華村,花蓮縣吉安鄉南濱路一段521號,1.0,1412人,
SNA00028,國良大理石工廠,光華村,花蓮縣吉安鄉南濱路一段558號,1.0,66人,
SNA00029,山井石材企業有限公司,光華村,花蓮縣吉安鄉南濱路一段536號,1.0,26人,
SNA00030,宏群企業有限公司,光華村,花蓮縣吉安鄉華工四路9巷3號,1.0,49人,
SNA00031,金營方石業公司,光華村,花蓮縣吉安鄉南濱路一段544號,1.0,25人,
SNA00032,鳳山石材有限公司,光華村,花蓮縣吉安鄉華工四路20號,1.0,41人,
SNA00033,偉展石業有限公司,光華村,花蓮縣吉安鄉南濱路一段523號,1.0,38人,
SNA00034,永弘實業有限公司,光華村,花蓮縣吉安鄉南濱路一段560號,1.0,40人,
SNA00035,鳳琦大理石有限公司,光華村,花蓮縣吉安鄉華工四路2號,1.0,49人,
SNA00036,利國石業有限公司,光華村,花蓮縣吉安鄉華工四路14號,1.0,41人,
SNA00037,礬慶企業有限公司,光華村,花蓮縣吉安鄉華工三路5號,1.0,26人,
SNA00038,興霸石材公司,光華村,花蓮縣吉安鄉華工三路3號,1.0,82人,
SNA00039,弘元石材有限公司,光華村,花蓮縣吉安鄉南濱路一段554號,1.0,152人,
SNA00040,國原大理石公司,光華村,花蓮縣吉安鄉華南二路7號,1.0,62人,
SNA00041,聖恁石材有限公司,光華村,花蓮縣吉安鄉華工四路4號,1.0,237人,
SNA00042,高陽益有限公司,光華村,花蓮縣吉安鄉南濱路一段529號,1.0,88人,
SNA00043,晶晶洗染公司,仁和村,花蓮縣吉安鄉南海四街296號,1.0,164人,
SNA00044,中華紙漿廠,光華村,花蓮縣吉安鄉光華街100號,1.0,430人,
SNA00045,和聯石業,光華村,花蓮縣吉安鄉華中路22號,1.0,298人,
SNA00046,石材工業發展中心,光華村,花蓮縣吉安鄉南濱路一段534號,1.0,798人,
SNA00047,富國石材股份有限公司,勝安村,花蓮縣吉安鄉民治路182號,1.0,69人,
SNA00048,凡成齒輪機械公司,勝安村,花蓮縣吉安鄉自強路101號,1.0,69人,
SNA00049,台灣基督教長老教會,北昌村,花蓮縣吉安鄉自立路54號,1.0,90人,
SNA00050,國產汽車股份有限公司,北昌村,花蓮縣吉安鄉建國路一段189號,1.0,108人,
SNA00051,民宅,勝安村,花蓮縣吉安鄉自強路282號,1.0,34人,
SNA00052,民宅,勝安村,花蓮縣吉安鄉自強路284號,1.0,34人,
SNA00053,民宅,勝安村,花蓮縣吉安鄉自強路286號,1.0,34人,
SNA00054,民宅,勝安村,花蓮縣吉安鄉自強路288號,1.0,34人,
SNA00055,漢林家俱,北昌村,花蓮縣吉安鄉建國路一段117號,1.0,54人,
SNA00056,民宅,勝安村,花蓮縣吉安鄉自強路298號,1.0,32人,
SNA00057,驕陽企業有限公司,勝安村,花蓮縣吉安鄉民治路357號,1.0,62人,
SNA00058,金銓瑞企業社(民宅),勝安村,花蓮縣吉安鄉自強路218號,1.0,30人,
SNA00059,民宅,勝安村,花蓮縣吉安鄉自強路214號,1.0,69人,
SNA00060,民宅,勝安村,花蓮縣吉安鄉自強路226號,1.0,29人,
SNA00061,佳佳企業社(民宅),勝安村,花蓮縣吉安鄉自強路224號,1.0,30人,
SNA00062,銀光企業社(民宅),勝安村,花蓮縣吉安鄉自強路210號,1.0,38人,
SNA00063,民宅,勝安村,花蓮縣吉安鄉自強路208號,1.0,38人,
SNA00064,民宅,勝安村,花蓮縣吉安鄉自強路206號,1.0,38人,
SNA00065,東港汽車有限公司,北昌村,花蓮縣吉安鄉中央路三段424號,1.0,176人,
SNA00066,震宇企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段39號,1.0,21人,
SNA00067,國泰企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段43號,1.0,21人,
SNA00068,東信企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段41號,1.0,21人,
SNA00069,百吉企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段37號,1.0,24人,
SNA00070,典藏企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段45號,1.0,21人,
SNA00071,康城企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段51號,1.0,21人,
SNA00072,花誠企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段49號,1.0,21人,
SNA00073,國福企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段47號,1.0,21人,
SNA00074,協力企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段190號,1.0,60人,
SNA00075,達晟工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段1號,1.0,190人,
SNA00076,達晟工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段3號,1.0,191人,
SNA00077,達晟工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段5號,1.0,90人,
SNA00078,中暉工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段15號,1.0,58人,
SNA00079,日萬工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段13號,1.0,192人,
SNA00080,合興工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段7號,1.0,56人,
SNA00081,合興工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段9號,1.0,56人,
SNA00082,賢義工業社(民宅),北昌村,花蓮縣吉安鄉建國路一段225號,1.0,49人,
SNA00083,銀光企業社(民宅),勝安村,花蓮縣吉安鄉自強路248號,1.0,84人,
SNA00084,中華賓士展示廠,勝安村,花蓮縣吉安鄉中原路一段268號,1.0,34人,
SNA00085,龍建企業社(民宅),勝安村,花蓮縣吉安鄉中央路三段238號,1.0,62人,
SNA00086,新新企業社(民宅),勝安村,花蓮縣吉安鄉中央路三段250號,1.0,62人,
SNA00087,長良企業社(民宅),勝安村,花蓮縣吉安鄉中央路三段256號,1.0,62人,
SNA00088,東正企業社(民宅),勝安村,花蓮縣吉安鄉中央路三段244號,1.0,61人,
SNA00089,貞貞企業社(民宅),勝安村,花蓮縣吉安鄉自強路38號,1.0,34人,
SNA00090,瑞珍企業社(民宅),勝安村,花蓮縣吉安鄉自強路300巷40號,1.0,34人,
SNA00091,順益汽車股份有限公司,北昌村,花蓮縣吉安鄉建國路一段197號,1.0,53人,
SNA00092,源利企業社(民宅),勝安村,花蓮縣吉安鄉自強路133號,1.0,36人,
SNA00093,奇來金屬企業有限公司,勝安村,花蓮縣吉安鄉和平路一段1號,1.0,65人,
SNA00094,名師工業社(民宅),勝安村,花蓮縣吉安鄉自強路131號,1.0,62人,
SNA00095,李秀企業社(民宅),勝安村,花蓮縣吉安鄉自強路356號,1.0,44人,
SNA00096,富甲實業有限公司(民宅),勝安村,花蓮縣吉安鄉自強路135號,1.0,36人,
SNA00097,寶吉企業社(民宅),勝安村,花蓮縣吉安鄉自強路137號,1.0,36人,
SNA00098,玉才企業社(民宅),勝安村,花蓮縣吉安鄉自強路300巷30號,1.0,46人,
SNA00099,義福企業社(民宅),勝安村,花蓮縣吉安鄉民治路267號,1.0,17人,
SNA00100,文松企業社(民宅),勝安村,花蓮縣吉安鄉民治路290號,1.0,41人,
SNA00101,上和企業社(民宅),北昌村,花蓮縣吉安鄉建國路一段60號,1.0,352人,
SNA00102,石圃企業有限公司(旅館),勝安村,花蓮縣吉安鄉慈惠二街122號,1.0,586人,
SNA00103,弘羿消防公司,勝安村,花蓮縣吉安鄉中央路三段308號,1.0,40人,
SNA00104,民宅,北昌村,花蓮縣吉安鄉中央路三段609號,1.0,86人,
SNA00105,穩建建設公司(公寓),北昌村,花蓮縣吉安鄉北昌五街52號,1.0,568人,
SNA00106,自立華廈(公寓),北昌村,花蓮縣吉安鄉自立路34巷8號,1.0,21人,
SNA00107,名捷建設有限公司(公寓),北昌村,花蓮縣吉安鄉北昌三街54巷10號,1.0,926人,
SNA00108,太昌郵局,永安村,花蓮縣吉安鄉吉安路一段35號,1.0,225人,
SNA00109,慈濟科技大學,太昌村,花蓮縣吉安鄉建國路二段880號,1.0,2293人,
SNA00110,慈濟科技大學,太昌村,花蓮縣吉安鄉建國路二段882號,1.0,1272人,
SNA00111,慈濟醫學暨人文社會學院,國興里,花蓮市介仁街67號,1.0,1968人,
SNA00112,慈濟技術學院,太昌村,花蓮縣吉安鄉建國路二段880之5號,1.0,2150人,
SNA00113,慈濟基金會,國興里,花蓮市介仁街166號,1.0,4752人,
SNA00114,吉安中興路加油站,吉安村,花蓮縣吉安鄉中興路121號,1.0,36人,
SNA00115,吉安鄉農會,吉安村,花蓮縣吉安鄉吉安路二段90號,1.0,818人,
SNA00116,上騰職業學校,吉安村,花蓮縣吉安鄉吉興四街101號,1.0,338人,
SNA00117,捷盟石業有限公司,稻香村,花蓮縣吉安鄉香源路65號,1.0,128人,
SNA00118,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,46人,
SNA00119,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,125人,
SNA00120,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,125人,
SNA00121,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,125人,
