類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
工廠行號,檠興公司,3-01-002,水頭村,嘉義縣水上鄉水頭村中正路41號,"23.455344, 120.420518",地下1樓,130.0,
工廠行號,檠興企業(嘉展金屬寶龍科技),3-01-003,水頭村,嘉義縣水上鄉水頭村中正路67號,"23.455344, 120.420518",地下1樓,107.0,
學校,水上國小1,3-01-008,水上村,嘉義縣水上鄉水上村正義路182號,"23.42826, 120.39726",地下1樓,804.0,
市場,水上公有零售市場,3-01-010,水上村,嘉義縣水上鄉水上村正義路131號,"23.42894, 120.39837",地下1樓,353.0,
大樓,水上御花園(金山建設),3-01-011,水上村,嘉義縣水上鄉水上村正義路219號,"23.42656, 120.39479",地下1樓,644.0,
工廠行號,漢隆工業公司,3-01-012,水上村,嘉義縣水上鄉水上村中華路199巷23號,"23.42591, 120.40185",地下1樓,164.0,
工廠行號,沙克電子公司1,3-01-013,水上村,嘉義縣水上鄉水上村中華路199巷25號,"23.42627, 120.40212",地下1樓,1193.0,
工廠行號,沙克電子公司2,3-01-014,水上村,嘉義縣水上鄉水上村中華路199巷25號,"23.42610, 120.40244",地下1樓,581.0,
工廠行號,德奇工業,3-01-015,水上村,嘉義縣水上鄉水上村中華路199巷33號,"23.42615, 120.40316",地下1樓,28.0,
工廠行號,鎧鴻工業公司,3-01-016,水上村,嘉義縣水上鄉水上村中華路199巷39號,"23.42599, 120.40379",地下1樓,42.0,
工廠行號,宏鎰工業,3-01-018,粗溪村,嘉義縣水上鄉粗溪村中山路2段423號,"23.43557, 120.39965",地下1樓,26.0,
工廠行號,宏良國際公司,3-01-019,粗溪村,嘉義縣水上鄉粗溪村中山路2段453號,"23.436356, 120.40034",地下1樓,394.0,
工廠行號,升華冷凍公司,3-01-020,下寮村,嘉義縣水上鄉下寮村中山路3段576巷20號,"23.45968, 120.42151",地下1樓,100.0,
工廠行號,建興工業,3-01-021,下寮村,嘉義縣水上鄉下寮村中山路3段576巷52號,"23.46008, 120.42296",地下1樓,30.0,
工廠行號,三明電音1,3-01-022,下寮村,嘉義縣水上鄉下寮村中山路3段622號,"23.46067, 120.42231",地下1樓,68.0,
工廠行號,伸岱企業,3-01-023,下寮村,嘉義縣水上鄉下寮村鴿溪寮20-121號,"23.45502, 120.42055",地下1樓,38.0,
工廠行號,弘鎧企業,3-01-024,下寮村,嘉義縣水上鄉下寮村鴿溪寮20-123號,"23.45511, 120.42035",地下1樓,37.0,
工廠行號,東廣信(振宇塑膠),3-01-025,三和村,嘉義縣水上鄉三和村頂寮1-53號,"23.45713, 120.41717",地下1樓,42.0,
工廠行號,守護寶公司,3-01-026,大堀村,嘉義縣水上鄉大崛村江竹仔腳3-4號,"23.44384, 120.37152",地下1樓,54.0,
