編號,村里別,地址,可容納人數,地下樓層數,類別,備註
1.0,東寮里,彰化縣溪湖鎮東寮里彰水路4段43號,"211 ","1 ",新光人壽,
2.0,東寮里,彰化縣溪湖鎮東寮里彰水路4段150號,"1,181 ","1 ",大學市公寓大樓,
3.0,東寮里,彰化縣溪湖鎮東寮里彰水路4段323號,"543 ","1 ",中華電信,
4.0,太平里,彰化縣溪湖鎮太平里員鹿路3段185號,"355 ","1 ",大樓,
5.0,太平里,彰化縣溪湖鎮太平里太平街57號,"385 ","1 ",溪湖圖書館,
6.0,太平里,彰化縣溪湖鎮太平里太平街131號,"308 ","1 ",大樓,
7.0,太平里,彰化縣溪湖鎮太平里地政路252號,"1,529 ","1 ",健美企業,
8.0,河東里,彰化縣溪湖鎮河東里二溪路2段584號,"93 ","1 ",三環企業公司,
9.0,湖西里,彰化縣溪湖鎮湖西里大公路8號,"788 ","1 ",大樓,
10.0,湖西里,彰化縣溪湖鎮湖西里二溪路1段150號,"147 ","1 ",大樓,
11.0,湖西里,彰化縣溪湖鎮湖西里二溪路1段148號,"127 ","1 ",大樓,
12.0,湖西里,彰化縣溪湖鎮湖西里華中街5號,"709 ","1 ",榮華富貴大樓,
13.0,湖西里,彰化縣溪湖鎮湖西里大公路99號,"213 ","1 ",溪湖地政事務所,
14.0,大突里,彰化縣溪湖鎮大突里大公路179號,"321 ","1 ",展亞商務旅館,
15.0,大竹里,彰化縣溪湖鎮大竹里西環路177號,"2,755 ","1 ",西環特區,
16.0,湖東里,彰化縣溪湖鎮湖東里青雅路36號,"572 ","1 ",溪湖衛生所,
17.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段330號,"244 ","1 ",溪湖消防分隊,
18.0,湖東里,彰化縣溪湖鎮湖東里員鹿路2段482號,"156 ","1 ",溪湖鎮變電所,
19.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段86號,"1,296 ","1 ",溪湖高中,
20.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段86號,"1,840 ","1 ",溪湖高中,
21.0,湖東里,彰化縣溪湖鎮湖東里大溪路2段110號,"180 ","1 ",臺灣電力公司,
