編號,村里別,地址,可容納人數,地下樓層數,類別,備註
1.0,大新里,彰化縣北斗鎮大新里四海路78號,"133 ","1 ",大樓,
2.0,大新里,彰化縣北斗鎮大新里新工一路108號,"133 ","1 ",大樓,
3.0,大新里,彰化縣北斗鎮大新里新工一路80號,"1,276 ","1 ",中華電信彰化營運處北斗線路中心,110.11.08
4.0,大新里,彰化縣北斗鎮大新里四海路2段79號,"96 ",1,信鋐工業,
5.0,大新里,彰化縣北斗鎮大新里四海路2段59號,"96 ",1,信鋐工業,
6.0,大新里,彰化縣北斗鎮大新里新工一路103號,"134 ","1 ",合興工業,
7.0,大新里,彰化縣北斗鎮大新里新工路76號,"66 ","1 ",大樓,
8.0,大新里,彰化縣北斗鎮大新里新工三路3段89號,"66 ","1 ",大樓,
9.0,大新里,彰化縣北斗鎮大新里四海路1段23號,"193 ","1 ",榮嘉企業,
10.0,大新里,彰化縣北斗鎮大新里四海路1段2號,"41 ","1 ",郭瑞榮,
11.0,大新里,彰化縣北斗鎮大新里四海路2段35號,"81 ","1 ",瑞銘金屬工業,
12.0,大新里,彰化縣北斗鎮大新里新工一路100號,"60 ","1 ",普惠醫工,
13.0,大新里,彰化縣北斗鎮大新里新工一路65號,"73 ","1 ",大樓,
14.0,大新里,彰化縣北斗鎮大新里財神路20號,"1,432 ","1 ",台灣生物製劑,110.11.08
15.0,大新里,彰化縣北斗鎮大新里財神路30號,"478 ","1 ",寶緯公司,110.11.08
16.0,大新里,彰化縣北斗鎮大新里四海路1段88號,"93 ","1 ",大樓,
17.0,光復里,彰化縣北斗鎮光復里中華路168號,"61 ","1 ",大樓,
18.0,光復里,彰化縣北斗鎮光復里宮後街27號,"184 ","1 ",大樓,
19.0,光復里,彰化縣北斗鎮光復里中華路123號,"116 ","1 ",大樓,
20.0,光復里,彰化縣北斗鎮光復里光復路238號,"249 ","1 ",大樓,
21.0,光復里,彰化縣北斗鎮光復里光復路226號,"621 ","1 ",大樓,
22.0,光復里,彰化縣北斗鎮光復里地政路398號,"2,446 ","1 ",大樓,
23.0,光復里,彰化縣北斗鎮光復里復興路406號,"320 ","1 ",大樓,
24.0,大道里,彰化縣北斗鎮大道里中山路2段521號,"154 ","1 ",大樓,
25.0,大道里,彰化縣北斗鎮大道里學府路50號,"716 ","1 ",大樓,
26.0,大道里,彰化縣北斗鎮大道里文苑路17號,"320 ","1 ",大樓,
27.0,大道里,彰化縣北斗鎮大道里學府路50號,"442 ","1 ",大樓,
28.0,大道里,彰化縣北斗鎮大道里學府路50號-1,"442 ","1 ",大樓,
29.0,大道里,彰化縣北斗鎮大道里文苑路17號-2,"185 ","1 ",大樓,
30.0,大道里,彰化縣北斗鎮大道里文苑路1段136號,"317 ","1 ",大樓,
31.0,大道里,彰化縣北斗鎮大道里中山路2段309號,"548 ","1 ",大樓,
32.0,大道里,彰化縣北斗鎮大道里文苑路80號,"74 ","1 ",大樓,
33.0,西德里,彰化縣北斗鎮西德里公所路12號,"180 ","1 ",大樓,
34.0,西德里,彰化縣北斗鎮西德里公所路2號,"166 ","1 ",大樓,
35.0,西德里,彰化縣北斗鎮西德里中山路1段236號,"98 ","1 ",大樓,
36.0,西安里,彰化縣北斗鎮西安里斗苑路2段243號,"69 ","1 ",大樓,
37.0,西安里,彰化縣北斗鎮西安里中山路1段311號,"10 ","1 ",大樓,
38.0,西安里,彰化縣北斗鎮西安里中山路1段311號-1,"446 ","1 ",大樓,
39.0,西安里,彰化縣北斗鎮西安里中山路2段40號,"20 ","1 ",大樓,
40.0,西安里,彰化縣北斗鎮西安里中山路2段40號-1,"20 ","1 ",大樓,
41.0,七星里,彰化縣北斗鎮七星里斗苑路1段73號,"800 ","1 ",大樓,
42.0,七星里,彰化縣北斗鎮七星里民權路92號,"121 ","1 ",大樓,
43.0,七星里,彰化縣北斗鎮七星里神農路1-8號,"137 ","1 ",大樓,
44.0,新政里,彰化縣北斗鎮新政里光復路215號,"508 ","1 ",大樓,
45.0,新政里,彰化縣北斗鎮新政里地政路470號,"820 ","1 ",大樓,
46.0,新政里,彰化縣北斗鎮新政里中華路190號,"112 ","1 ",大樓,
47.0,五權里,彰化縣北斗鎮五權里宮前路62號,"64 ","1 ",大樓,
48.0,文昌里,彰化縣北斗鎮文昌里後溪巷8號,"48 ","1 ",大樓,
49.0,居仁里,彰化縣北斗鎮居安里斗苑路1段26號,"22 ","1 ",大樓,
50.0,新生里,彰化縣北斗鎮新生里興農路1段293號,"278 ","1 ",大樓,
51.0,東光里,彰化縣北斗鎮東光里斗中路765號,"2,813 ","1 ",大樓,
52.0,東光里,彰化縣北斗鎮東光里斗中路837號,"80 ","1 ",大樓,
53.0,中和里,彰化縣北斗鎮中和里斗中路320號,"61 ","1 ",大樓,
54.0,中和里,彰化縣北斗鎮中和里斗中路412巷26號,"220 ","1 ",大樓,
55.0,饒平村,彰化縣田尾鄉饒平村公所路201號,"980 ","1 ",田尾鄉公所,110.12.02
56.0,饒平村,彰化縣田尾鄉饒平村中學路1段18號,"757 ","1 ",田尾國中,
57.0,饒平村,彰化縣田尾鄉饒平村公所路139號,"1,993 ","1 ",田尾鄉農會,110.12.02
58.0,饒平村,彰化縣田尾鄉饒平村四維巷128號,"768 ","1 ",華興化學製藥廠,
59.0,饒平村,彰化縣田尾鄉饒平村四維巷127號,"277 ","1 ",緯茂塑膠企業,110.12.02
60.0,饒平村,彰化縣田尾鄉饒平村中山路1段191號,"112 ","1 ",85度C田尾中山店,
61.0,饒平村,彰化縣田尾鄉饒平村中山路1段163號,"553 ","1 ",信泉產業,
62.0,饒平村,彰化縣田尾鄉饒平村中山路1段167號,"398 ","1 ",信泉產業,
63.0,田尾村,彰化縣田尾鄉田尾村民族路156號,"168 ","1 ",大樓,
64.0,北曾村,彰化縣田尾鄉北曾村福德路343號,"1,136 ","1 ",大樓,
65.0,和豊村,彰化縣埤頭鄉和豊村斗苑東路180巷5號,"146 ","1 ",大樓,
66.0,和豊村,彰化縣埤頭鄉和豊村斗苑東路178巷10號,"45 ","1 ",大樓,
67.0,和豊村,彰化縣埤頭鄉和豊村斗苑東路525號,"228 ","1 ",大樓,
68.0,和豊村,彰化縣埤頭鄉和豊村埔尾路30號,"21 ","1 ",大樓,
69.0,和豊村,彰化縣埤頭鄉和豊村斗苑東路228號,"125 ","1 ",大樓,
70.0,和豊村,彰化縣埤頭鄉和豊村埔尾路6號之1,"266 ","1 ",大樓,
71.0,和豊村,彰化縣埤頭鄉和豊村新生路82號,"121 ","1 ",大樓,
72.0,興農村,彰化縣埤頭鄉興農村彰水路472巷15號,"97 ","1 ",大樓,
73.0,興農村,彰化縣埤頭鄉興農村彰水路四段576號,"235 ","1 ",大樓,
74.0,興農村,彰化縣埤頭鄉興農村彰水路四段552號,"266 ","1 ",大樓,
75.0,興農村,彰化縣埤頭鄉興農村彰水路4段110號,"135 ","1 ",大樓,
76.0,崙子村,彰化縣埤頭鄉崙子村庄子路65號,"108 ","1 ",大樓,
77.0,崙腳村,彰化縣埤頭鄉崙腳村興工路18號,"120 ","1 ",燈通盛工業股份有限公司,
78.0,崙腳村,彰化縣埤頭鄉崙腳村興工路2號,"66 ","1 ",大樓,
79.0,崙腳村,彰化縣埤頭鄉崙腳村興工路10號,"160 ","1 ",許振華裕隆公司,
80.0,崙腳村,彰化縣埤頭鄉崙腳村興工路03號,"32 ","1 ",大樓,
81.0,崙腳村,彰化縣埤頭鄉崙腳村興工路11號,"40 ","1 ",大樓,
82.0,崙腳村,彰化縣埤頭鄉崙腳村興工路4號,"116 ","1 ",益張實業,
83.0,崙腳村,彰化縣埤頭鄉崙腳村興工路17號,"42 ","1 ",大樓,
84.0,崙腳村,彰化縣埤頭鄉崙腳村興工路17號,"229 ","1 ",大樓,
85.0,崙腳村,彰化縣埤頭鄉崙腳村興工路19號,"13 ","1 ",大樓,
86.0,崙腳村,彰化縣埤頭鄉崙腳村興工路61號,"62 ","1 ",聯米企業（花東糧食）,
87.0,崙腳村,彰化縣埤頭鄉崙腳村興工路23號,"80 ","1 ",永銳堅電通,
88.0,崙腳村,彰化縣埤頭鄉崙腳村興工路27號,"97 ","1 ",利元飼料加工廠,
89.0,崙腳村,彰化縣埤頭鄉崙腳村興工路07號,"33 ","1 ",大樓,
90.0,崙腳村,彰化縣埤頭鄉崙腳村興工路59號,"166 ","1 ",大樓,
91.0,崙腳村,彰化縣埤頭鄉崙腳村興工路65號,"53 ","1 ",大樓,
92.0,崙腳村,彰化縣埤頭鄉崙腳村興工路20號,"106 ","1 ",歐典生物科技,
93.0,崙腳村,彰化縣埤頭鄉崙腳村興工路17號,"42 ","1 ",大樓,
94.0,崙腳村,彰化縣埤頭鄉崙腳村彰水路4段472巷16號,"66 ","1 ",大樓,
