電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SMA08010,復興國小,民心里,花蓮縣花蓮市府前路682號,1,37人,,花蓮縣花蓮市府前路682號
SMA08011,美崙大飯店,民享里,花蓮縣花蓮市林園1之1號,1、2,11298人,,花蓮縣花蓮市林園1之1號
SMA08012,美崙國中,民孝里,花蓮縣花蓮市化道路40巷1號,1,545人,,花蓮縣花蓮市化道路40巷1號
SMA08013,大樓,民孝里,花蓮縣花蓮市東興一街79巷18-22號,1,9194人,,花蓮縣花蓮市東興一街79巷18-22號
SMA08014,花蓮市原住民文化館,民享里,花蓮縣花蓮市北興路460號,1,3318人,,花蓮縣花蓮市北興路460號
SMA08015,大樓,民孝里,花蓮縣花蓮市東興二街147~153號,1,9194人,,花蓮縣花蓮市東興二街147~153號
SMA09001,東旭觀海酒店,民德里,花蓮縣花蓮市民權路6-1號,1,53人,,花蓮縣花蓮市民權路6-1號
SMA09002,門諾醫院,民立里,花蓮縣花蓮市民權路44號,1,1469人,,花蓮縣花蓮市民權路44號
SMA09003,洄瀾客棧,民立里,花蓮縣花蓮市海岸路11號,1,1048人,,花蓮縣花蓮市海岸路11號
SMA09004,花蓮中學,民立里,花蓮縣花蓮市民權路42號,1,208人,,花蓮縣花蓮市民權路42號
SMA09005,花蓮中學,民立里,花蓮縣花蓮市民權路42號,1,561人,,花蓮縣花蓮市民權路42號
SMA09006,花蓮市環保局,民立里,花蓮縣花蓮市民權路123號,1,113人,,花蓮縣花蓮市民權路123號
SMA09007,東區老人之家,民立里,花蓮縣花蓮市民權路125號,1,629人,,花蓮縣花蓮市民權路125號
SMA09008,花蓮縣立文化中心,民立里,花蓮市文復路6號,1,442人,,花蓮市文復路6號
SMA09009,煙波飯店,民立里,花蓮縣花蓮市中美路142號,1,2311人,,花蓮縣花蓮市中美路142號
SMA09010,花蓮福容飯店,民運里,花蓮縣花蓮市民生路51號,1,3722人,,花蓮縣花蓮市民生路51號
SMA09011,鑄強國小,民政里,花蓮縣花蓮市永興路20號,1,300人,,花蓮縣花蓮市永興路20號
SMA09012,春暉大廈,民政里,花蓮縣花蓮市中美路115號,1,1081人,,花蓮縣花蓮市中美路115號
SMA09013,美崙之星大樓,民政里,花蓮縣花蓮市永興路6-1號,1,1919人,,花蓮縣花蓮市永興路6-1號
SMA09014,花蓮縣政府,民勤里,花蓮縣花蓮市府前路17號,1,310人,,花蓮縣花蓮市府前路17號
SMA09015,花蓮縣政府,民勤里,花蓮縣花蓮市府前路17號,1,310人,,花蓮縣花蓮市府前路17號
SMA09016,花蓮縣政府,民勤里,花蓮縣花蓮市府前路17號,1,310人,,花蓮縣花蓮市府前路17號
SMA09017,花蓮縣警察局,民勤里,花蓮縣花蓮市府前路21號,1,400人,,花蓮縣花蓮市府前路21號
SMA09018,花蓮縣議會,民勤里,花蓮縣花蓮市府前路23號,1,264人,,花蓮縣花蓮市府前路23號
SMA09019,海星國小,民勤里,花蓮縣花蓮市永興路21號,1,162人,,花蓮縣花蓮市永興路21號
SMA09020,藝術家大樓,民勤里,花蓮縣花蓮市中美三街50-72號,1,3302人,,花蓮縣花蓮市中美三街50-72號
SMA09021,地方法院,民勤里,花蓮縣花蓮市府前路15號,1,1133人,,花蓮縣花蓮市府前路15號
SMA09022,地方法院,民勤里,花蓮縣花蓮市府前路15號,1,1634人,,花蓮縣花蓮市府前路15號
SMA09023,華廈,民政里,花蓮縣花蓮市府前路296巷15號,1,729人,,花蓮縣花蓮市府前路296巷15號
SMA09024,華廈,民政里,花蓮縣花蓮市中興路231號,1,1328人,,花蓮縣花蓮市中興路231號
SMA09025,花蓮縣政府,民政里,花蓮縣花蓮市中美十一街9號,1,4002人,,花蓮縣花蓮市中美十一街9號
SMA09026,東大附小,民勤里,花蓮縣花蓮市永安街100號,1,194人,,花蓮縣花蓮市永安街100號
SMA09027,第一家庭,民勤里,花蓮縣花蓮市中美路93巷12號,1,5862人,,花蓮縣花蓮市中美路93巷12號
SMA09028,東大附小,民勤里,花蓮縣花蓮市永安街100號,1,117人,,花蓮縣花蓮市永安街100號
SMA09029,大樓,民立里,花蓮縣花蓮市中美路206號,1、2,1272人,,花蓮縣花蓮市中美路206號
SMA09030,華廈,民立里,花蓮縣花蓮市中興路81號,1,305人,,花蓮縣花蓮市中興路81號
SMA07016,祥捷建設公司,國盛里,花蓮縣花蓮市國盛一街168之1號,1,216人,,花蓮縣花蓮市國盛一街168之1號
SMA07017,商業大樓,國聯里,花蓮縣花蓮市國聯五路5之5號,1,392人,,花蓮縣花蓮市國聯五路5之5號
SMA09031,中華建築經濟股份有限公司,民運里,花蓮縣花蓮市民生路31之1號,1,302人,,花蓮縣花蓮市民生路31之1號
SMA02016,法鼓山花蓮精舍,國裕里,花蓮縣花蓮市中央路四段272號,1,405人,,花蓮縣花蓮市中央路四段272號
SMA05013,福呈建設有限公司,主學里,花蓮縣花蓮市中正路315巷26號2樓,1,202人,,花蓮縣花蓮市中正路315巷26號2樓
SMA05012,私人透天,主學里,花蓮縣花蓮市上海街111號,1,123,,花蓮縣花蓮市上海街111號
SMA05014,佳寬建設有限公司,主農里,花蓮縣花蓮市重慶路1號,1,467,,花蓮縣花蓮市重慶路1號
SMA02017,大樓,國裕里,花蓮縣花蓮市富裕八街1號,1、2,856人,,花蓮縣花蓮市富裕八街1號
SMA02018,華廈,國富里,花蓮縣花蓮市富祥街109號,1,514人,,花蓮縣花蓮市富祥街109號
SMA07018,百事達飯店,國聯里,花蓮縣花蓮市國聯五路151號,1,1808,
SMA09032,松石苑-華廈,民德里,花蓮縣花蓮市民權路1號,1,1320,,花蓮縣花蓮市民權路1號
SMA09033,基督教門諾會,民政里,花蓮市順興路87號,1,440,,花蓮市順興路87號
SMA08016,台灣電力股份有限公司,民意里,花蓮縣花蓮市府前路95號,1,2706,,花蓮縣花蓮市府前路95號
SMA09034,美崙之星Ⅱ,民政里,花蓮縣花蓮市永興路6之1號,1,875,,花蓮縣花蓮市永興路6之1號
SMA07019,大樓,國盛里,花蓮縣花蓮市國盛一街66號,1,335,,花蓮縣花蓮市國盛一街66號
SMA06031,大樓,國華里,花蓮縣花蓮市中山路455巷25號,1,453,,花蓮縣花蓮市中山路455巷25號
SMA02020,集合住宅,國裕里,花蓮縣花蓮市富裕三街48號二樓之1,1,298,,花蓮縣花蓮市富裕三街48號二樓之1
SMA06032,員工住宅,國威里,花蓮縣花蓮市博愛街176-1號,1,668,,花蓮縣花蓮市博愛街176-1號
SAM03015,艾美酒店,國治里,花蓮市中正路599號,4,8977,,花蓮市中正路599號
SMA02019,華廈,國裕里,花蓮縣花蓮市富吉路31號,1,451人,,花蓮縣花蓮市富吉路31號
