類別,里別,防空疏散避難設施地址,可容納人數,"unnamed (1)","unnamed (2)"
冠豪公司,下寮村,元長鄉下寮村經建街8號,60.0,,
品寶公司,下寮村,元長鄉下寮村興工街2號,250.0,,
侯秦公司,下寮村,元長鄉下寮村經建街1號,120.0,,
台億公司,下寮村,元長鄉下寮村經建街10號,101.0,,
素食園公司,下寮村,元長鄉下寮村經建街1號,80.0,,
嘉楠食品公司,下寮村,元長鄉下寮村18鄰興工街3號,82.0,,
公寓,中山里,虎尾鎮中山里中正路94號,28.0,,
公寓,中山里,虎尾鎮中山里中正路100號,212.0,,
公寓,中山里,虎尾鎮中山里仁愛路60號,27.0,,
公寓,中山里,虎尾鎮中山里中正路106號,77.0,,
公寓,中山里,虎尾鎮中山里中正路108號,82.0,,
公寓,中山里,虎尾鎮中山里中正路110號,89.0,,
公寓,中山里,虎尾鎮中山里中正路116號,22.0,,
公寓,中山里,虎尾鎮中山里中正路121號,64.0,,
公寓,中山里,虎尾鎮中山里中正路143號,22.0,,
公寓,中山里,虎尾鎮中山里仁愛路1號,128.0,,
公寓,中山里,虎尾鎮中山里中正路140號,46.0,,
公寓,中山里,虎尾鎮中山里中正路140號,152.0,,
公寓,中山里,虎尾鎮中山里中正路146號,26.0,,
公寓,中山里,虎尾鎮中山里公安路115號,110.0,,
大樓,中山里,虎尾鎮中山里新生路157號,2709.0,,
公寓,中山里,虎尾鎮中山里新興路63號,152.0,,
公寓,中山里,虎尾鎮中山里中山路82號,251.0,,
公寓,中山里,虎尾鎮中山里德興路16號,880.0,,
永慶房屋,中山里,虎尾鎮中山里中正路39號,204.0,,
林瑞昌,中山里,虎尾鎮中山里中正路140號,198.0,,
"振宏公司
",中山里,虎尾鎮中山里中山路6號,140.0,,
不開放,中民村,褒忠鄉中民村15鄰自強路100號,721.0,,
"高治機械
",中民村,褒忠鄉中民村中正路14之5號,123.0,,
"吉升飼料
",中民村,褒忠鄉中民村中正路28之18號,520.0,,
"三仁醫院
",中勝村,褒忠鄉中勝村中正路466號,220.0,,
大樓,公安里,虎尾鎮公安里林森路1段416巷31號,1262.0,,
大樓,公安里,虎尾鎮公安里林森路1段360巷41號,730.0,,
大樓,公安里,虎尾鎮公安里林森路1段360巷9號,3392.0,,
公寓,公安里,虎尾鎮公安里博愛路20號,26.0,,
公寓,公安里,虎尾鎮公安里博愛路96號,37.0,,
公寓,公安里,虎尾鎮公安里博愛路106巷39號,33.0,,
公寓,公安里,虎尾鎮公安里博愛路106巷41號,33.0,,
公寓,公安里,虎尾鎮公安里博愛路106巷37之1號,33.0,,
公寓,公安里,虎尾鎮公安里博愛路98號,37.0,,
大樓,公安里,虎尾鎮公安里新興路114號,545.0,,
大樓,公安里,虎尾鎮公安里光復路482號,444.0,,
公寓,公安里,虎尾鎮公安里林森路1段396巷47號,232.0,,
公寓,公安里,虎尾鎮公安里光復路446號,167.0,,
公寓,公安里,虎尾鎮公安里博愛路43號,212.0,,
公寓,公安里,虎尾鎮公安里林森路1段416巷13號,314.0,,
公寓,公安里,虎尾鎮公安里明正東路40號,266.0,,
不開放,公安里,虎尾鎮公安里林森路1段490號,785.0,,
虎尾國小,公安里,虎尾鎮公安里明正路88號,1686.0,,
啟楠公司,公安里,虎尾鎮公安里光復路432號,165.0,,
虎尾帝王管委會,公安里,虎尾鎮公安里林森路1段476至488號,1710.0,,
公寓,公安里,虎尾鎮公安里公安路178號之18,668.0,,
公寓,平和里,虎尾鎮平和里光明路56號,490.0,,
大樓,平和里,虎尾鎮平和里成德街100號,727.0,,
雲林農田水利會,平和里,虎尾鎮平和里七鄰光明路91之1號,235.0,,
"大成商工
升學大樓",平和里,虎尾鎮平和里光復路130號,1920.0,,
"平和國小
B棟",平和里,虎尾鎮平和里光復路22號,670.0,,
平和國小A棟,平和里,虎尾鎮平和里光復路22號,224.0,,
