建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,備註,placemark_address
,東陽里,雲林縣北港鎮東陽里中山路52號,"23.5693,  120.3031",1.0,62.0,北港分局,414.0,,雲林縣北港鎮東陽里中山路52號
,南安里,雲林縣北港鎮南安里光明路43-1號,"23.566095, 120.302683",1.0,193.0,北港分局,415.0,光明路43號,雲林縣北港鎮南安里光明路43-1號
南陽國小（禮堂）,南安里,雲林縣北港鎮南安里光明路55號,"23.56642, 120.30238",1.0,265.0,北港分局,416.0,,雲林縣北港鎮南安里光明路55號
北港國中,南安里,雲林縣北港鎮南安里民生路102號,"23.56608, 120.2992",1.0,2449.0,北港分局,417.0,東側1225人、北港國中1224人,雲林縣北港鎮南安里民生路102號
南陽國小,南安里,雲林縣北港鎮南安里光明路59號,"23.56649, 120.30168",1.0,374.0,北港分局,418.0,,雲林縣北港鎮南安里光明路59號
,草湖里,雲林縣北港鎮華勝路679號(佛教慈濟慈善事業基金會北港聯絡處),"23.59541, 120.30257",1.0,133.0,北港分局,419.0,,雲林縣北港鎮華勝路679號(佛教慈濟慈善事業基金會北港聯絡處)
僑美國小,草湖里,雲林縣北港鎮華勝路655號,23.592959，120.301972,1.0,714.0,北港分局,420.0,視聽333人、東側190人、西側191人,雲林縣北港鎮華勝路655號
,華勝里,651雲林縣北港鎮文昌路6號,"23.57260, 120.300826",1.0,567.0,北港分局,421.0,,651雲林縣北港鎮文昌路6號
,華勝里,雲林縣北港鎮民政路55號,"23.57544, 120.29939",1.0,27.0,北港分局,422.0,文昌路6號對面,雲林縣北港鎮民政路55號
,華勝里,651雲林縣北港鎮吉祥路152號,"23.57757, 120.30048",1.0,82.0,北港分局,423.0,,651雲林縣北港鎮吉祥路152號
仁一醫院,華勝里,雲林縣北港鎮華勝里公園路155號,"23.57747, 120.30127",1.0,217.0,北港分局,424.0,,雲林縣北港鎮華勝里公園路155號
建國國中,華勝里,雲林縣北港鎮華勝里大同路468號,"23.57321, 120.297",1.0,533.0,北港分局,425.0,北棟168人、甲棟123人、東棟242人,雲林縣北港鎮華勝里大同路468號
辰光國小,新厝里,雲林縣北港鎮新厝里49號,"23.587257, 120.317845",1.0,64.0,北港分局,426.0,東側29人、西側35人(新厝里產業道路去),雲林縣北港鎮新厝里49號
,新街里,雲林縣北港鎮新街里文仁路108號,"23.57901, 120.30191",1.0,857.0,北港分局,427.0,,雲林縣北港鎮新街里文仁路108號
,新街里,雲林縣北港鎮新街里民樂路223號,"23.57854, 120.29442",1.0,75.0,北港分局,428.0,,雲林縣北港鎮新街里民樂路223號
北港寶座,新街里,雲林縣北港鎮新德路63號,"23.58637, 120.30283",1.0,200.0,北港分局,429.0,,雲林縣北港鎮新德路63號
翔慶建設,新街里,雲林縣北港鎮新街里新德路2號,"23.58363, 120.29974",1.0,590.0,北港分局,430.0,,雲林縣北港鎮新街里新德路2號
,新街里,雲林縣北港鎮新街里文仁路126號,"23.57894, 120.30159",1.0,977.0,北港分局,431.0,,雲林縣北港鎮新街里文仁路126號
皇家大樓,新街里,雲林縣北港鎮華勝路368巷8號,"23.582296, 120.299190",1.0,798.0,北港分局,432.0,本避難處所位於雲林縣北港鎮華勝路368巷1號、皇家大樓旁,雲林縣北港鎮華勝路368巷8號
北港稅捐處,新街里,雲林縣北港鎮新街里文仁路6號,"23.57991, 120.3051",1.0,155.0,北港分局,433.0,,雲林縣北港鎮新街里文仁路6號
北港地政,新街里,雲林縣北港鎮新街里文仁路2號,"23.57991, 120.30539",1.0,176.0,北港分局,434.0,,雲林縣北港鎮新街里文仁路2號
北港鎮公所,新街里,雲林縣北港鎮新街里北辰路1號,"23.57588, 120.30235",1.0,397.0,北港分局,435.0,東棟83人、西棟314人,雲林縣北港鎮新街里北辰路1號
北港高中,新街里,雲林縣北港鎮新街里成功路26號,"23.57735, 120.30429",1.0,2428.0,北港分局,436.0,涵英館266人、文史大樓337人、志清館828人、映輝樓24人、懷恩樓618人、圖書館355人,雲林縣北港鎮新街里成功路26號
北港濟世宮,新街里,雲林縣北港鎮新街里文仁路180號,"23.57159, 120.30199",1.0,788.0,北港分局,437.0,,雲林縣北港鎮新街里文仁路180號
苗佳企業有限公司,新街里,雲林縣北港鎮新街里民樂路219號,"23.57756, 120.29512",1.0,55.0,北港分局,438.0,,雲林縣北港鎮新街里民樂路219號
祥久汽車有限公司(檢驗廠),新街里,雲林縣北港鎮新街里民樂路213號,"23.57795, 120.29488",1.0,11.0,北港分局,439.0,,雲林縣北港鎮新街里民樂路213號
鋒邦公司,新街里,雲林縣北港鎮民樂路221號,"23.57831, 120.29467",1.0,67.0,北港分局,440.0,,雲林縣北港鎮民樂路221號
北辰國小,新街里,雲林縣北港鎮新街里成功路30號,"23.57736, 120.30301",1.0,1099.0,北港分局,441.0,北辰國小120人、東二棟120人、總務處46人、西二棟253人、西一棟127人、西一棟433人,雲林縣北港鎮新街里成功路30號
北港農工,新街里,雲林縣北港鎮新街里太平路80號,"23.57967, 120.30605",1.0,507.0,北港分局,442.0,活動中心133人、音樂館208人、勤學樓166人,雲林縣北港鎮新街里太平路80號
媽袓醫院,新街里,雲林縣北港鎮新街里新德路123號,"23.59093, 120.30779",1.0,5777.0,北港分局,443.0,東棟2666人、西棟3111人,雲林縣北港鎮新街里新德路123號
國泰人壽,義民里,雲林縣北港鎮義民路80號,"23.56775, 120.30243",1.0,257.0,北港分局,444.0,,雲林縣北港鎮義民路80號
天長交通公司,劉厝里,雲林縣北港鎮劉厝里民樂路267號,"23.57909, 120.29432",1.0,269.0,北港分局,445.0,,雲林縣北港鎮劉厝里民樂路267號
巨人中學,樹腳里,雲林縣北港鎮樹腳里大同路647號,"23.57547, 120.28941",1.0,736.0,北港分局,446.0,,雲林縣北港鎮樹腳里大同路647號
金華成國際有限公司,樹腳里,雲林縣北港鎮樹腳里大同路614號,"23.57514, 120.29146",1.0,610.0,北港分局,447.0,,雲林縣北港鎮樹腳里大同路614號
