類別,建築物名稱,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,備註,placemark_address
地下室,詹益昇(啟阜大廈),JTA137,東路里,彰化縣田中鎮復興路797巷68號,23.86066985,120.5868474,1.0,"736 ",,彰化縣田中鎮復興路797巷68號
地下室,帥帝賓館,JTA081,中路里,彰化縣田中鎮中路里福安路6號,23.85956951,120.5900918,1.0,"128 ",,彰化縣田中鎮中路里福安路6號
地下室,庭園賓館,JTA107,中路里,彰化縣田中鎮中路里福安路48號,23.85959078,120.5900282,1.0,"195 ",,彰化縣田中鎮中路里福安路48號
地下室,龍門大飯店,JTA088,中路里,彰化縣田中鎮中路里興工路553號,23.8572612,120.5908548,1.0,"1,690 ",,彰化縣田中鎮中路里興工路553號
地下室,魏達華等四戶,JTA102,中路里,彰化縣田中鎮中路里中州路1段194號,23.85815412,120.5866743,1.0,"168 ",,彰化縣田中鎮中路里中州路1段194號
地下室,田中鎮立圖書館,JTA035,中路里,彰化縣田中鎮中路里中新路229號,23.85660323,120.5886219,1.0,"163 ",,彰化縣田中鎮中路里中新路229號
地下室,謝純、翁宗元,JTA085,中路里,彰化縣田中鎮中路里興工路557號,23.85738838,120.5908082,1.0,"261 ",,彰化縣田中鎮中路里興工路557號
地下室,泰山企業公司1,JTA010,南路里,彰化縣田中鎮南路里興工路6號,23.84837375,120.5928049,1.0,"84 ",,彰化縣田中鎮南路里興工路6號
地下室,泰山企業公司2,JTA011,南路里,彰化縣田中鎮南路里興工路6號,23.84837375,120.5928049,1.0,"86 ",,彰化縣田中鎮南路里興工路6號
地下室,泰山企業公司3,JTA041,南路里,彰化縣田中鎮南路里興工路6號,23.84837375,120.5928049,1.0,"344 ",,彰化縣田中鎮南路里興工路6號
地下室,縣農會碾米廠,JTA013,南路里,彰化縣田中鎮南路里中南路3段405號,23.8531986,120.5916255,1.0,"50 ",,彰化縣田中鎮南路里中南路3段405號
地下室,縣農會田中倉庫,JTA027,南路里,彰化縣田中鎮南路里中南路3段405號,23.8531986,120.5916255,1.0,"55 ",,彰化縣田中鎮南路里中南路3段405號
地下室,建元醫院,JTA125,南路里,彰化縣田中鎮南路里中南路3段512號,23.85343473,120.5893869,1.0,"333 ",,彰化縣田中鎮南路里中南路3段512號
地下室,陳張珠,JTA103,北路里,彰化縣田中鎮北路里中山街237巷46號,23.8585428,120.592907,1.0,"61 ",,彰化縣田中鎮北路里中山街237巷46號
地下室,蕭英文,JTA110,北路里,彰化縣田中鎮北路里福安路156號,23.86195901,120.5890843,1.0,"470 ",,彰化縣田中鎮北路里福安路156號
地下室,大福地大廈,JTA120,北路里,彰化縣田中鎮北路里新生街150巷20弄16號,23.86250174,120.5866309,1.0,"467 ",,彰化縣田中鎮北路里新生街150巷20弄16號
地下室,名人市大廈,JTA128,北路里,彰化縣田中鎮北路里新生街112巷15號,23.8620291,120.587246,1.0,"472 ",,彰化縣田中鎮北路里新生街112巷15號
地下室,卓健俞,JTA132,北路里,彰化縣田中鎮北路里員集路2段706巷31號,23.86549173,120.5862695,1.0,"1,168 ",,彰化縣田中鎮北路里員集路2段706巷31號
地下室,新光人壽,JTA136,北路里,彰化縣田中鎮北路里福安路250號,23.8630602,120.5886012,1.0,"200 ",,彰化縣田中鎮北路里福安路250號
地下室,華新橡膠公司,JTA040,沙崙里,彰化縣田中鎮沙崙里中州路2段751號,23.84739005,120.569497,1.0,"191 ",,彰化縣田中鎮沙崙里中州路2段751號
地下室,兆陽興業公司,JTA043,沙崙里,彰化縣田中鎮沙崙里中州路2段555號,23.85057712,120.5722024,1.0,"181 ",,彰化縣田中鎮沙崙里中州路2段555號
地下室,冠僑公司(原:倍利製革公司),JTA047,沙崙里,彰化縣田中鎮沙崙里新工二路25號,23.84951045,120.5734832,1.0,"181 ",,彰化縣田中鎮沙崙里新工二路25號
地下室,大新工業區管理處,JTA048,沙崙里,彰化縣田中鎮沙崙里新工三路95號,23.84870696,120.5717666,1.0,"195 ",,彰化縣田中鎮沙崙里新工三路95號
地下室,東星製線公司,JTA049,沙崙里,彰化縣田中鎮沙崙里中州路2段517號,23.85089451,120.5726303,1.0,"82 ",,彰化縣田中鎮沙崙里中州路2段517號
地下室,黃澤豐製藥,JTA050,沙崙里,彰化縣田中鎮沙崙里新工一路15號,23.85076399,120.5740724,1.0,"90 ",,彰化縣田中鎮沙崙里新工一路15號
地下室,泰賓實業公司,JTA051,沙崙里,彰化縣田中鎮沙崙里中州路2段557號,23.85056871,120.5721221,1.0,"157 ",,彰化縣田中鎮沙崙里中州路2段557號
地下室,邁克威公司(原:村明企業),JTA052,沙崙里,彰化縣田中鎮沙崙里新工三路113號,23.84763561,120.5705518,1.0,"107 ",,彰化縣田中鎮沙崙里新工三路113號
地下室,華毅企業公司,JTA053,沙崙里,彰化縣田中鎮沙崙里酪農路216號,23.84581663,120.5703617,1.0,"34 ",,彰化縣田中鎮沙崙里酪農路216號
地下室,大成毛刷公司(原:維鴻橡膠公司),JTA054,沙崙里,彰化縣田中鎮沙崙里新工三路120號,23.84786473,120.5702739,1.0,"71 ",,彰化縣田中鎮沙崙里新工三路120號
地下室,奕發興業公司(原:川盛製材公司),JTA055,沙崙里,彰化縣田中鎮沙崙里新工三路160號,23.84771119,120.5703354,1.0,"158 ",,彰化縣田中鎮沙崙里新工三路160號
地下室,得貴有限公司,JTA056,沙崙里,彰化縣田中鎮沙崙里新工三路140號,23.84779414,120.5702828,1.0,"88 ",,彰化縣田中鎮沙崙里新工三路140號
地下室,天恩粉圓(原:和利斯特企業),JTA058,沙崙里,彰化縣田中鎮沙崙里新工三路83號,23.84909516,120.571732,1.0,"21 ",,彰化縣田中鎮沙崙里新工三路83號
地下室,幸福釣具(原:加昌紙器公司),JTA060,沙崙里,彰化縣田中鎮沙崙里中州路2段429號,23.85246067,120.5740216,1.0,"38 ",,彰化縣田中鎮沙崙里中州路2段429號
地下室,廣吉公司,JTA062,沙崙里,彰化縣田中鎮沙崙里興酪路1段96號,23.84858218,120.5740136,1.0,"32 ",,彰化縣田中鎮沙崙里興酪路1段96號
地下室,達昱公司,JTA063,沙崙里,彰化縣田中鎮沙崙里新工二路145號,23.84643351,120.5730182,1.0,"27 ",,彰化縣田中鎮沙崙里新工二路145號
地下室,六暉企業,JTA065,沙崙里,彰化縣田中鎮沙崙里新工五路64號,23.84728108,120.5707941,1.0,"126 ",,彰化縣田中鎮沙崙里新工五路64號
地下室,千順公司(原:達正橡膠公司),JTA066,沙崙里,彰化縣田中鎮沙崙里新工五路8號,23.84609149,120.5732549,1.0,"271 ",,彰化縣田中鎮沙崙里新工五路8號
地下室,兆陽興業公司,JTA067,沙崙里,彰化縣田中鎮沙崙里新工五路36號,23.84704052,120.571112,1.0,"115 ",,彰化縣田中鎮沙崙里新工五路36號
地下室,大友碾米廠,JTA068,沙崙里,彰化縣田中鎮沙崙里中州路2段569號,23.85026486,120.5719802,1.0,"101 ",,彰化縣田中鎮沙崙里中州路2段569號
地下室,聯安冷凍公司,JTA070,沙崙里,彰化縣田中鎮沙崙里新工四路80號,23.84834543,120.5723061,1.0,"214 ",,彰化縣田中鎮沙崙里新工四路80號
地下室,李瑞發,JTA072,沙崙里,彰化縣田中鎮沙崙里中州路2段661號,23.84918739,120.57067,1.0,"86 ",,彰化縣田中鎮沙崙里中州路2段661號
地下室,天魁有限公司,JTA073,沙崙里,彰化縣田中鎮沙崙里新工四路56號,23.84824557,120.5727267,1.0,"76 ",,彰化縣田中鎮沙崙里新工四路56號
