電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
EOA00001,學府世家社區,一心里,24.879919,121.291271,B1,"831 ",大溪分局,
EOA00002,大溪區公所(文化會館),興和里,24.883466,121.287068,B1,"1,175 ",大溪分局,
EOA00003,泰翔公司,一德里,24.86683,121.284171,B1,"51 ",大溪分局,
EOA00004,美喬森木器公司,一德里,24.86683,121.284171,B1,"24 ",大溪分局,
EOA00006,秀波電子股份有限公司,月眉里,24.895236,121.300717,B1,"83 ",大溪分局,
EOA00007,豐凱工業公司,一德里,24.86683,121.284171,B1,"56 ",大溪分局,
EOA00008,大良工業公司,一德里,24.86683,121.284171,B1,"35 ",大溪分局,
EOA00009,弘鑫工業公司,一德里,24.86683,121.284171,B1,"64 ",大溪分局,
EOA00010,黃日香公司,月眉里,24.89417,121.300687,B1,"125 ",大溪分局,
EOA00011,大迪工業公司,一德里,24.86683,121.284171,B1,"70 ",大溪分局,
EOA00012,益大唐木業公司,田心里,24.88304,121.295318,B1,"38 ",大溪分局,
EOA00013,江衍順,田心里,24.88304,121.295318,B1,"38 ",大溪分局,
EOA00014,東和樂器公司,田心里,24.885961,121.295019,B1,"446 ",大溪分局,
EOA00015,大溪地政事務所,興和里,24.882139,121.288331,B1,"716 ",大溪分局,
EOA00016,國泰人壽保險公司,一德里,24.877932,121.287967,B1,"220 ",大溪分局,
EOA00017,全富名廈,一心里,24.877803,121.290465,B1,"190 ",大溪分局,
EOA00018,文化名園,田心里,24.88272,121.293568,B1,"424 ",大溪分局,
EOA00019,新天母大廈,一心里,24.879367,121.292928,B1,"449 ",大溪分局,
EOA00020,龍之鄉社區,一心里,24.880601,121.293212,B1,"300 ",大溪分局,
EOA00021,黃可文,田心里,24.881551,121.293497,B1,"204 ",大溪分局,
EOA00022,大樓,一心里,24.880692,121.288798,B1,"111 ",大溪分局,
EOA00024,王太平,一德里,24.876118,121.288131,B1,"135 ",大溪分局,
EOA00025,游象裕,一德里,24.876944,121.289671,B1,"288 ",大溪分局,
EOA00026,大溪郵局,興和里,,,B1,"603 ",大溪分局,不對外設置標誌牌
EOA00027,花城四季,一德里,24.877512,121.288436,B1,"893 ",大溪分局,
EOA00028,官道社區,一心里,24.878247,121.292552,B1,"191 ",大溪分局,
EOA00029,曾文圍,一心里,24.88065,121.290999,B1,"464 ",大溪分局,
EOA00030,張玖蘇,一心里,24.881526,121.288936,B1,"170 ",大溪分局,
EOA00031,全富名廈,一心里,24.87846,121.289401,B1,"362 ",大溪分局,
EOA00032,大溪寶第社區,一心里,24.882383,121.289107,B1,"923 ",大溪分局,
EOA00033,曾三真,一心里,24.877967,121.291504,B1,"340 ",大溪分局,
EOA00034,廖蔡冬桂,一心里,24.879987,121.290361,B1,"161 ",大溪分局,
EOA00035,力仁大樓,一心里,24.879581,121.290574,B1,"493 ",大溪分局,
EOA00036,大溪區公所,興和里,24.880508,121.28715,B1,"345 ",大溪分局,
EOA00037,大溪國小,福仁里,24.883759,121.286851,B1,"20 ",大溪分局,
EOA00038,大樓,一德里,24.876914,121.289128,B1,"885 ",大溪分局,
EOA00039,大樓,田心里,24.88149,121.294549,B1,"1,034 ",大溪分局,
EOA00040,大樓,田心里,24.881171,121.294263,B1,"737 ",大溪分局,
EOA00041,大樓,一心里,24.879023,121.292544,B1,"254 ",大溪分局,
EOA00042,大溪區農會,福仁里,,,B1,"90 ",大溪分局,不對外設置標誌牌
EOA00043,楊英俊,田心里,24.884571,121.290194,B1,"1,060 ",大溪分局,
