編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,緯經度,備註,placemark_address
1.0,大新里,彰化縣北斗鎮大新里四海路78號,"聯發塑膠公司   ",地下室,地下一層,133.0,JOA00122,23.86680550916402，120.55066009120287,,彰化縣北斗鎮大新里四海路78號
2.0,大新里,彰化縣北斗鎮大新里新工一路108號,"好品味 ",地下室,地下一層,133.0,JOA00123,23.8687656983912，120.54967414178809,,彰化縣北斗鎮大新里新工一路108號
3.0,大新里,彰化縣北斗鎮大新里四海路2段2巷79號,信鋐工業,地下室,地下一層,96.0,JOA00109,23.866865944102265，120.54997482644161,,彰化縣北斗鎮大新里四海路2段2巷79號
4.0,大新里,彰化縣北斗鎮大新里新工一路103號,合興工業,地下室,地下一層,134.0,JOA00141,23.86838103282433，120.55060423993169,,彰化縣北斗鎮大新里新工一路103號
5.0,大新里,彰化縣北斗鎮大新里新工路76號,聯豪公司,地下室,地下一層,66.0,JOA00133,23.867649845393554，120.55155276641618,,彰化縣北斗鎮大新里新工路76號
6.0,大新里,彰化縣北斗鎮大新里新工三路3段89號,"貞宇公司 ",地下室,地下一層,66.0,JOA00153,23.867914690259028，120.55156352644175,,彰化縣北斗鎮大新里新工三路3段89號
7.0,大新里,彰化縣北斗鎮大新里四海路1段23號,榮嘉企業,地下室,地下一層,193.0,JOA00135,23.866134659500233，120.55383509760496,,彰化縣北斗鎮大新里四海路1段23號
8.0,大新里,彰化縣北斗鎮大新里四海路1段2號,民宅,地下室,地下一層,41.0,JOA00125,23.866734135570383，120.55176961295142,,彰化縣北斗鎮大新里四海路1段2號
9.0,大新里,彰化縣北斗鎮大新里四海路2段35號,瑞銘金屬工業,地下室,地下一層,81.0,JOA00128,23.868035110761795，120.54945582458531,,彰化縣北斗鎮大新里四海路2段35號
10.0,大新里,彰化縣北斗鎮大新里新工一路100號,普惠醫工,地下室,地下一層,60.0,JOA00120,23.868781467376856，120.55032026084719,,彰化縣北斗鎮大新里新工一路100號
11.0,大新里,彰化縣北斗鎮大新里新工一路65號,"加利興公司  ",地下室,地下一層,73.0,JOA00144,23.868316645959982，120.55189336084712,,彰化縣北斗鎮大新里新工一路65號
12.0,大新里,彰化縣北斗鎮大新里財神路20號,臺灣生物製劑,地下室,地下一層,1432.0,JOA00158,23.868755554733056，120.55204000503038,,彰化縣北斗鎮大新里財神路20號
13.0,大新里,彰化縣北斗鎮大新里財神路30號,寶緯公司,地下室,地下一層,478.0,JOA00168,23.86939021992423，120.55217155899096,,彰化縣北斗鎮大新里財神路30號
14.0,大新里,彰化縣北斗鎮大新里四海路1段88號,"上銘工業股份有限公司 ",地下室,地下一層,93.0,JOA00141,23.86677562137978，120.55063415527826,,彰化縣北斗鎮大新里四海路1段88號
15.0,光復里,彰化縣北斗鎮光復里中華路168號,民宅,地下室,地下一層,61.0,JOA00061,23.873533035137118，120.52459328411501,,彰化縣北斗鎮光復里中華路168號
16.0,光復里,彰化縣北斗鎮光復里中華路123號,北斗奠安宮,地下室,地下一層,116.0,JOA00050,23.873189859239705，120.52523901295159,,彰化縣北斗鎮光復里中華路123號
17.0,光復里,彰化縣北斗鎮光復里光復路238號,北斗稅捐處,地下室,地下一層,249.0,JOA00033,23.875263742893313，120.52436131295167,,彰化縣北斗鎮光復里光復路238號
18.0,光復里,彰化縣北斗鎮光復里地政路398號,金太陽音樂廣場,地下室,地下一層,2446.0,JOA00155,23.874795500512654，120.52509306876857,,彰化縣北斗鎮光復里地政路398號
19.0,光復里,彰化縣北斗鎮光復里復興路406號,復旦製藥股份有限公司,地下室,地下一層,320.0,JOA00086,23.880418260848067，120.52438699760528,,彰化縣北斗鎮光復里復興路406號
20.0,大道里,彰化縣北斗鎮大道里學府路50號,"北斗家商 ",地下室,地下一層,716.0,JOA00157,23.878428973941958，120.52262457248118,,彰化縣北斗鎮大道里學府路50號
21.0,大道里,彰化縣北斗鎮大道里文苑路17號,"北斗家商 ",地下室,地下一層,320.0,JOA00031,23.877560917514952，120.51841688411506,,彰化縣北斗鎮大道里文苑路17號
22.0,大道里,彰化縣北斗鎮大道里學府路50號,"北斗家商 ",地下室,地下一層,442.0,JOA00032,23.87848783702688，120.52250655527838,,彰化縣北斗鎮大道里學府路50號
23.0,大道里,彰化縣北斗鎮大道里學府路50號,"北斗家商 ",地下室,地下一層,442.0,JOA00064,23.87834067926436，120.52265675899098,,彰化縣北斗鎮大道里學府路50號
24.0,大道里,彰化縣北斗鎮大道里文苑路17號,"北斗家商 ",地下室,地下一層,185.0,JOA00132,23.8775511069324，120.51842761295167,,彰化縣北斗鎮大道里文苑路17號
25.0,大道里,彰化縣北斗鎮大道里文苑路1段136號,"北斗國中  ",地下室,地下一層,317.0,JOA00159,23.878902399275972，120.51745482829817,,彰化縣北斗鎮大道里文苑路1段136號
26.0,大道里,彰化縣北斗鎮大道里中山路2段309號,國泰人壽,地下室,地下一層,548.0,JOA00145,23.878745384016245，120.52057441109537,,彰化縣北斗鎮大道里中山路2段309號
27.0,西德里,彰化縣北斗鎮西德里公所路12號,北斗消防隊,地下室,地下一層,180.0,JOA00119,23.869514528313175，120.51865983731905,,彰化縣北斗鎮西德里公所路12號
28.0,西德里,彰化縣北斗鎮西德里公所路2號,北斗鎮公所,地下室,地下一層,166.0,JOA00009,23.892047031351726，120.52605816691253,,彰化縣北斗鎮西德里公所路2號
29.0,西安里,彰化縣北斗鎮西安里斗苑路2段243號,北斗菸酒公賣局,地下室,地下一層,69.0,JOA00055,23.876613951108716，120.51223269946142,,彰化縣北斗鎮西安里斗苑路2段243號
30.0,西安里,彰化縣北斗鎮西安里中山路1段311號,"卓醫院 ",地下室,地下一層,10.0,JOA00003,23.87230783727338，120.51550441295149,,彰化縣北斗鎮西安里中山路1段311號
31.0,西安里,彰化縣北斗鎮西安里中山路1段311號-1,"卓醫院 ",地下室,地下一層,446.0,JOA00003,23.87235689216563，120.51556878597121,,彰化縣北斗鎮西安里中山路1段311號-1
32.0,西安里,彰化縣北斗鎮西安里中山路2段40號,欣和護理之家,地下室,地下一層,20.0,JOA00001,23.874528576723808，120.51815199760509,,彰化縣北斗鎮西安里中山路2段40號
33.0,西安里,彰化縣北斗鎮西安里中山路2段40號-1,欣和護理之家,地下室,地下一層,20.0,JOA00002,23.87443046856652，120.51810908225862,,彰化縣北斗鎮西安里中山路2段40號-1
34.0,七星里,彰化縣北斗鎮七星里斗苑路1段73號,北斗鎮市場,地下室,地下一層,800.0,JOA00036,23.87251451495101，120.52660611109529,,彰化縣北斗鎮七星里斗苑路1段73號
35.0,七星里,彰化縣北斗鎮七星里民權路92號,民宅,地下室,地下一層,121.0,JOA00075,23.87188612697952，120.52667612644173,,彰化縣北斗鎮七星里民權路92號
36.0,七星里,彰化縣北斗鎮七星里神農路1-8號,弘揚綠材有限公司,地下室,地下一層,137.0,JOA00107,23.85832230988357，120.52747311295118,,彰化縣北斗鎮七星里神農路1-8號
37.0,新政里,彰化縣北斗鎮新政里地政路470號,松順園邸公寓大廈,地下室,地下一層,820.0,JOA00167,23.874678935809836，120.52334841109543,,彰化縣北斗鎮新政里地政路470號
38.0,新政里,彰化縣北斗鎮新政里中華路190號,"世業行 ",地下室,地下一層,112.0,JOA00115,23.873320326338412，120.52420928968385,,彰化縣北斗鎮新政里中華路190號
39.0,文昌里,彰化縣北斗鎮文昌里後溪巷35號,"承成塑膠廠股份有限公司 ",地下室,地下一層,48.0,JOA00130,23.87892794178837，120.53454298225874,,彰化縣北斗鎮文昌里後溪巷35號
40.0,居仁里,彰化縣北斗鎮居安里斗苑路1段26號,"南星醫院 ",地下室,地下一層,22.0,JOA00036,23.87301182495785，120.52759065876575,,彰化縣北斗鎮居安里斗苑路1段26號
41.0,新生里,彰化縣北斗鎮新生里興農路1段293號,"皇廣企業股份有限公司 ",地下室,地下一層,278.0,JOA00080,23.847893254126745，120.55152661109479,,彰化縣北斗鎮新生里興農路1段293號
42.0,東光里,彰化縣北斗鎮東光里斗中路80號,龍口粉絲食品有限公司,地下室,地下一層,2813.0,JOA00166,23.870913062001364，120.53647929760507,,彰化縣北斗鎮東光里斗中路80號
43.0,東光里,彰化縣北斗鎮東光里斗中路837號,民宅,地下室,地下一層,80.0,JOA00018,23.871162906020242，120.53048496876838,,彰化縣北斗鎮東光里斗中路837號
44.0,中和里,彰化縣北斗鎮中和里斗中路320號,伊秀妮化妝品,地下室,地下一層,61.0,JOA00028,23.87108318377516，120.5442882129515,,彰化縣北斗鎮中和里斗中路320號
45.0,中和里,彰化縣北斗鎮中和里斗中路412巷26號,"南星醫院 ",地下室,地下一層,220.0,JOA00101,23.870956506333155，120.53642055527826,,彰化縣北斗鎮中和里斗中路412巷26號
46.0,饒平村,彰化縣田尾鄉饒平村公所路201號,田尾鄉公所,地下室,地下一層,980.0,JOA00180,23.892534968260154，120.5260138129519,,彰化縣田尾鄉饒平村公所路201號
47.0,饒平村,彰化縣田尾鄉饒平村中學路1段18號,田尾國中,地下室,地下一層,757.0,JOA00072,23.891408284862575，120.53354221295196,,彰化縣田尾鄉饒平村中學路1段18號
48.0,饒平村,彰化縣田尾鄉饒平村公所路139號,田尾鄉農會,地下室,地下一層,1993.0,JOA000173,23.891479242018303，120.52468298225905,,彰化縣田尾鄉饒平村公所路139號
49.0,饒平村,彰化縣田尾鄉饒平村四維巷128號,華興化學製藥廠,地下室,地下一層,768.0,JOA00092,23.884726995505154，120.52486734364469,,彰化縣田尾鄉饒平村四維巷128號
50.0,饒平村,彰化縣田尾鄉饒平村四維巷127號,緯茂塑膠企業,地下室,地下一層,277.0,JOA00093,23.884301515511925，120.52483973201088,,彰化縣田尾鄉饒平村四維巷127號
51.0,饒平村,彰化縣田尾鄉饒平村中山路1段191號,85度C田尾中山店,地下室,地下一層,112.0,JOA00105,23.887652500678637，120.52460177062514,,彰化縣田尾鄉饒平村中山路1段191號
52.0,饒平村,彰化縣田尾鄉饒平村中山路1段163號,信泉產業,地下室,地下一層,553.0,JOA00163,23.886799721899354，120.5242230841152,,彰化縣田尾鄉饒平村中山路1段163號
